# File Name: TESTWORDS.txt
# File Size: 173478      
# File Date: 07/19/2023 00:10:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2023
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	NOSPACE	NOETERNAL	ETERNAL	NOHELL	YESHELL	SHEOL	GEHENNA	HADES	TARTARUS	ABYSS	LOF	END
Holy-Bible---Basque---Basque-NT	0	GROUP=0/0/0	GROUP=0/0/0	iffernurano=2/2/0, GROUP=2/2/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Beaver---Beaver-Mark	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bengali---Bengali-Bible	0	GROUP=0/0/0	GROUP=0/0/0	জাহান্নাম=0/0/0, GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Breton---Breton-Gospels	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bulgarian---Bulgarian-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Calo---Calo-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Cebuano---Cebuano-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Cherokee---Cherokee-New-Testament	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Matu---Matupi-Chin-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Thado---Chongthu-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chinese---Chinese-Union-Version-Simplified	1	GROUP=0/0/0	永=697/128/569, 世=571/50/521, GROUP=1268/178/1090	地狱=13/13/0, 阴间=73/72/1, 塔耳塔洛斯 深渊=0/0/0, 无底坑=8/8/0, 火湖=5/5/0, GROUP=99/98/1	地狱=13/13/0, 阴间=73/72/1, 欣嫩子谷=10/0/10, 塔耳塔洛斯 深渊=0/0/0, 无底坑=8/8/0, 火湖=5/5/0, GROUP=109/98/11	地狱=13/13/0, 阴间=73/72/1, GROUP=86/85/1	地狱=13/13/0, 欣嫩子谷=10/0/10, GROUP=23/13/10	地狱=13/13/0, 阴间=73/72/1, GROUP=86/85/1	地狱=13/13/0, 塔耳塔洛斯 深渊=0/0/0, GROUP=13/13/0	无底坑=8/8/0, GROUP=8/8/0	火湖=5/5/0, GROUP=5/5/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chinese---Chinese-Union-Version-Traditional	1	GROUP=0/0/0	永=697/128/569, 世=571/50/521, GROUP=1268/178/1090	地獄=13/13/0, 陰間=73/72/1, 塔耳塔洛斯 深淵=0/0/0, 無底坑=8/8/0, 火湖=5/5/0, GROUP=99/98/1	地獄=13/13/0, 陰間=73/72/1, 欣嫩子穀=0/0/0, 塔耳塔洛斯 深淵=0/0/0, 無底坑=8/8/0, 火湖=5/5/0, GROUP=99/98/1	地獄=13/13/0, 陰間=73/72/1, GROUP=86/85/1	地獄=13/13/0, 欣嫩子穀=0/0/0, GROUP=13/13/0	地獄=13/13/0, 陰間=73/72/1, GROUP=86/85/1	地獄=13/13/0, 塔耳塔洛斯 深淵=0/0/0, GROUP=13/13/0	無底坑=8/8/0, GROUP=8/8/0	火湖=5/5/0, GROUP=5/5/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Coptic---Coptic-Boharic-NT	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Coptic---Coptic-NT	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Croatian---Croatian-Bible	0	GROUP=0/0/0	GROUP=0/0/0	paklena=2/1/1, paklu=2/2/0, GROUP=4/3/1	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Czech---Czech-Bible-Kralicka	0	GROUP=0/0/0	věčnost=16/2/14, věčného=25/21/4, věčný=33/26/7, věčných=6/2/4, věčná=10/2/8, věčnému=12/9/3, věčným=27/1/26, věčnou=26/2/24, věčné=83/10/73, věky=340/59/281, věku=34/9/25, věka=1/1/0, věků=70/31/39, věkové=2/1/1, světě=39/3/36, světa=94/21/73, světu=11/1/10, svět=72/4/68, GROUP=901/205/696	pekelný=1/1/0, pekelného=7/7/0, pekelném=1/1/0, pekelné=2/2/0, pekla=17/17/0, pekle=6/6/0, peklo=11/10/1, GROUP=45/44/1	zatracení=10/2/8, pekelný=1/1/0, pekelného=7/7/0, pekelném=1/1/0, pekelné=2/2/0, pekla=17/17/0, pekle=6/6/0, peklo=11/10/1, GROUP=55/46/9	zatracení=10/2/8, pekelný=1/1/0, pekelného=7/7/0, pekelném=1/1/0, pekelné=2/2/0, pekla=17/17/0, pekle=6/6/0, peklo=11/10/1, hrobu=68/23/45, hrobě=28/6/22, hrob=21/6/15, Odkryta=3/1/2, smrti=190/13/177, smrt=76/11/65, zahynutí=33/4/29, zakopali=1/1/0, GROUP=475/111/364	zatracení=10/2/8, pekelný=1/1/0, pekelného=7/7/0, pekelném=1/1/0, pekelné=2/2/0, pekla=17/17/0, pekle=6/6/0, peklo=11/10/1, GROUP=55/46/9	zatracení=10/2/8, pekelný=1/1/0, pekelného=7/7/0, pekelném=1/1/0, pekelné=2/2/0, pekla=17/17/0, pekle=6/6/0, peklo=11/10/1, hrobu=68/23/45, hrobě=28/6/22, hrob=21/6/15, Odkryta=3/1/2, smrti=190/13/177, smrt=76/11/65, zahynutí=33/4/29, zakopali=1/1/0, GROUP=475/111/364	žaláře=47/1/46, GROUP=47/1/46	propasti=26/9/17, GROUP=26/9/17	jezera ohnivého=3/3/0, jezera ohně=1/1/0, jezeře=1/1/0, kteréž hoří ohněm=1/1/0, GROUP=6/6/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Danish---Danish-Bible		GROUP=0/0/0	GROUP=0/0/0	helvede=8/8/0, helvedes=4/4/0, GROUP=12/12/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Dombe---Dombe-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Dutch---Canisiusvertaling	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Dutch---Statenvertaling	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---English---A-Conservative-Version	0	GROUP=0/0/0	eternity=3/0/3, eternal=73/70/3, forever=325/1/324, everlasting=67/0/67, evermore=24/0/24, and ever=21/0/21, for ever=2/0/2, always=81/0/81, immortal=1/1/0, age-during=0/0/0, age=88/61/27, ages=40/38/2, of old=59/1/58, world=212/12/200, worlds=0/0/0, long ago=11/0/11, universe=0/0/0, this life=4/1/3, earliest times=0/0/0, all the years=0/0/0, life without end=0/0/0, last days=4/1/3, present order=0/0/0, time to come=10/0/10, from the first=6/0/6, all times=10/0/10, the true=14/1/13, present life=1/0/1, order of the generations=0/0/0, last day=8/2/6, coming time=0/0/0, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=0/0/0, lasting=1/0/1, from the very first=0/0/0, only true=1/1/0, for all time=0/0/0, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=1066/190/876	hell=13/13/0, GROUP=13/13/0	hell=13/13/0, sheol=63/63/0, gehenna=0/0/0, gehinnom=0/0/0, hades=11/11/0, abyss=10/9/1, bottomless pit=0/0/0, depths below=0/0/0, tartarus=0/0/0, lake of fire=4/4/0, lake that burns with fire=1/1/0, GROUP=102/101/1	hell=13/13/0, sheol=63/63/0, hades=11/11/0, grave's=0/0/0, the grave=11/0/11, underworld=0/0/0, place of the dead=0/0/0, depth of the pit=0/0/0, the deepest pit=0/0/0, into the pit=13/3/10, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=1/0/1, GROUP=112/90/22	hell=13/13/0, gehenna=0/0/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=13/13/0	hell=13/13/0, hades=11/11/0, underworld=0/0/0, grave's=0/0/0, grave=25/0/25, sheol=63/63/0, GROUP=112/87/25	hell=13/13/0, tartarus=0/0/0, the deepest pit of gloom=0/0/0, GROUP=13/13/0	abyss=10/9/1, the deep=25/1/24, great deep=4/0/4, bottomless pit=0/0/0, the pit=49/7/42, depths below=0/0/0, GROUP=88/17/71	lake of fire=4/4/0, lake that burns with fire=1/1/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=5/5/0	NULL=2/0/2, GROUP=2/0/2
Holy-Bible---English---Aionian-Bible	0	GROUP=0/0/0	eternity=3/0/3, eternal=3/0/3, forever=351/0/351, everlasting=65/2/63, evermore=0/0/0, and ever=21/0/21, for ever=1/0/1, always=89/1/88, immortal=1/1/0, age-during=0/0/0, age=93/59/34, ages=42/40/2, of old=50/0/50, world=206/11/195, worlds=0/0/0, long ago=15/0/15, universe=0/0/0, this life=7/1/6, earliest times=0/0/0, all the years=0/0/0, life without end=0/0/0, last days=5/0/5, present order=0/0/0, time to come=10/1/9, from the first=8/0/8, all times=12/0/12, the true=14/2/12, present life=0/0/0, order of the generations=0/0/0, last day=7/2/5, coming time=0/0/0, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=1/1/0, lasting=0/0/0, from the very first=0/0/0, only true=1/1/0, for all time=1/0/1, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=1006/122/884	hell=0/0/0, GROUP=0/0/0	hell=0/0/0, sheol=63/63/0, gehenna=12/12/0, gehinnom=0/0/0, hades=11/11/0, abyss=10/9/1, bottomless pit=0/0/0, depths below=0/0/0, tartarus=1/1/0, lake of fire=4/4/0, lake that burns with fire=1/1/0, GROUP=102/101/1	hell=0/0/0, sheol=63/63/0, hades=11/11/0, grave's=0/0/0, the grave=9/0/9, underworld=0/0/0, place of the dead=0/0/0, depth of the pit=0/0/0, the deepest pit=0/0/0, into the pit=15/3/12, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=1/0/1, GROUP=99/77/22	hell=0/0/0, gehenna=12/12/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=12/12/0	hell=0/0/0, hades=11/11/0, underworld=0/0/0, grave's=0/0/0, grave=23/0/23, sheol=63/63/0, GROUP=97/74/23	hell=0/0/0, tartarus=1/1/0, the deepest pit of gloom=0/0/0, GROUP=1/1/0	abyss=10/9/1, the deep=27/1/26, great deep=4/0/4, bottomless pit=0/0/0, the pit=48/7/41, depths below=0/0/0, GROUP=89/17/72	lake of fire=4/4/0, lake that burns with fire=1/1/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=5/5/0	NULL=2/0/2, GROUP=2/0/2
Holy-Bible---English---American-Standard-Version-1901	0	eternity=2/0/0, eternal=72/69/0, forever=3/0/0, everlasting=70/2/0, for ever and ever=42/21/0, for every and ever=0/0/0, GROUP=189/92/0	eternity=2/0/2, eternal=72/69/3, forever=3/0/3, everlasting=70/2/68, evermore=31/5/26, and ever=42/21/21, for ever=370/47/323, always=59/1/58, immortal=1/1/0, age-during=0/0/0, age=34/1/33, ages=7/5/2, of old=69/3/66, world=232/36/196, worlds=3/3/0, long ago=10/0/10, universe=0/0/0, this life=6/1/5, earliest times=0/0/0, all the years=0/0/0, life without end=0/0/0, last days=4/0/4, present order=0/0/0, time to come=11/1/10, from the first=11/0/11, all times=11/0/11, the true=13/1/12, present life=0/0/0, order of the generations=0/0/0, last day=8/2/6, coming time=0/0/0, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=2/0/2, lasting=0/0/0, from the very first=0/0/0, only true=1/1/0, for all time=0/0/0, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=1072/200/872	hell=13/13/0, GROUP=13/13/0	hell=13/13/0, sheol=63/63/0, gehenna=0/0/0, gehinnom=0/0/0, hades=10/10/0, abyss=10/9/1, bottomless pit=0/0/0, depths below=0/0/0, tartarus=0/0/0, lake of fire=4/4/0, lake that burns with fire=0/0/0, GROUP=100/99/1	hell=13/13/0, sheol=63/63/0, hades=10/10/0, grave's=0/0/0, the grave=12/0/12, underworld=0/0/0, place of the dead=0/0/0, depth of the pit=0/0/0, the deepest pit=0/0/0, into the pit=14/3/11, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=1/0/1, GROUP=113/89/24	hell=13/13/0, gehenna=0/0/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=13/13/0	hell=13/13/0, hades=10/10/0, underworld=0/0/0, grave's=0/0/0, grave=32/0/32, sheol=63/63/0, GROUP=118/86/32	hell=13/13/0, tartarus=0/0/0, the deepest pit of gloom=0/0/0, GROUP=13/13/0	abyss=10/9/1, the deep=27/1/26, great deep=4/0/4, bottomless pit=0/0/0, the pit=49/7/42, depths below=0/0/0, GROUP=90/17/73	lake of fire=4/4/0, lake that burns with fire=0/0/0, lake that burneth with fire=1/1/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=5/5/0	NULL=2/0/2, GROUP=2/0/2
Holy-Bible---English---Bible-in-Basic-English	0	GROUP=0/0/0	eternity=0/0/0, eternal=148/70/78, forever=0/0/0, everlasting=0/0/0, evermore=0/0/0, and ever=43/20/23, for ever=470/54/416, always=0/0/0, immortal=0/0/0, age-during=0/0/0, age=0/0/0, ages=0/0/0, of old=9/0/9, world=213/28/185, worlds=0/0/0, long ago=0/0/0, universe=0/0/0, this life=14/6/8, earliest times=5/3/2, all the years=12/1/11, life without end=2/1/1, last days=12/1/11, present order=2/1/1, time to come=14/2/12, from the first=46/3/43, all times=106/1/105, the true=80/4/76, present life=2/2/0, order of the generations=1/1/0, last day=9/3/6, coming time=1/1/0, order of events=2/1/1, cares of life=0/0/0, since time was=0/0/0, time began=0/0/0, lasting=0/0/0, from the very first=0/0/0, only true=1/1/0, for all time=2/0/2, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=1194/204/990	hell=25/25/0, GROUP=25/25/0	hell=25/25/0, sheol=63/63/0, gehenna=0/0/0, gehinnom=0/0/0, hades=0/0/0, abyss=0/0/0, bottomless pit=0/0/0, depths below=0/0/0, tartarus=0/0/0, lake of fire=0/0/0, lake that burns with fire=0/0/0, GROUP=88/88/0	hell=25/25/0, sheol=63/63/0, hades=0/0/0, grave's=0/0/0, the grave=0/0/0, underworld=94/59/35, place of the dead=16/1/15, depth of the pit=0/0/0, the deepest pit=0/0/0, into the pit=0/0/0, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=0/0/0, GROUP=198/148/50	hell=25/25/0, gehenna=0/0/0, gehinnom=0/0/0, underworld=94/59/35, GROUP=119/84/35	hell=25/25/0, hades=0/0/0, underworld=94/59/35, grave's=0/0/0, grave=0/0/0, sheol=63/63/0, GROUP=182/147/35	hell=25/25/0, tartarus=0/0/0, the deepest pit of gloom=0/0/0, GROUP=25/25/0	abyss=0/0/0, the deep=62/7/55, great deep=11/7/4, bottomless pit=0/0/0, the pit=0/0/0, depths below=0/0/0, GROUP=73/14/59	lake of fire=0/0/0, lake that burns with fire=0/0/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=3/3/0, sea of fire=2/2/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=5/5/0	NULL=0/0/0, GROUP=0/0/0
