# File Name: IVERSE.txt
# File Size: 891829      
# File Date: 12/23/2024 02:01:04
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	REF	TEXT
BIBLE	REFERENCE	TEXT
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	REV-021-002	رُؤيا ٢١:٢-٣	وَأَنَا يُوحَنَّا رَأَيْتُ ٱلْمَدِينَةَ ٱلْمُقَدَّسَةَ أُورُشَلِيمَ ٱلْجَدِيدَةَ نَازِلَةً مِنَ ٱلسَّمَاءِ مِنْ عِنْدِ ٱللهِ مُهَيَّأَةً كَعَرُوسٍ مُزَيَّنَةٍ لِرَجُلِهَا. وَسَمِعْتُ صَوْتًا عَظِيمًا مِنَ ٱلسَّمَاءِ قَائِلًا: «هُوَذَا مَسْكَنُ ٱللهِ مَعَ ٱلنَّاسِ، وَهُوَ سَيَسْكُنُ مَعَهُمْ، وَهُمْ يَكُونُونَ لَهُ شَعْبًا، وَٱللهُ نَفْسُهُ يَكُونُ مَعَهُمْ إِلَهًا لَهُمْ.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	HEB-011-008	عِبرانِيّين ١١:٨	بِٱلْإِيمَانِ إِبْرَاهِيمُ لَمَّا دُعِيَ أَطَاعَ أَنْ يَخْرُجَ إِلَى ٱلْمَكَانِ ٱلَّذِي كَانَ عَتِيدًا أَنْ يَأْخُذَهُ مِيرَاثًا، فَخَرَجَ وَهُوَ لَا يَعْلَمُ إِلَى أَيْنَ يَأْتِي.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	EXO-013-017	اَلْخُرُوجُ ١٣:١٧	وَكَانَ لَمَّا أَطْلَقَ فِرْعَوْنُ ٱلشَّعْبَ أَنَّ ٱللهَ لَمْ يَهْدِهِمْ فِي طَرِيقِ أَرْضِ ٱلْفِلِسْطِينِيِّينَ مَعَ أَنَّهَا قَرِيبَةٌ، لِأَنَّ ٱللهَ قَالَ: «لِئَلَّا يَنْدَمَ ٱلشَّعْبُ إِذَا رَأَوْا حَرْبًا وَيَرْجِعُوا إِلَى مِصْرَ».
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	MAR-010-045	مَرْقُس ١٠:٤٥	لِأَنَّ ٱبْنَ ٱلْإِنْسَانِ أَيْضًا لَمْ يَأْتِ لِيُخْدَمَ بَلْ لِيَخْدِمَ وَلِيَبْذِلَ نَفْسَهُ فِدْيَةً عَنْ كَثِيرِينَ».
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	ROM-001-001	رُوما ١:١	بُولُسُ، عَبْدٌ لِيَسُوعَ ٱلْمَسِيحِ، ٱلْمَدْعُوُّ رَسُولًا، ٱلْمُفْرَزُ لِإِنْجِيلِ ٱللهِ،
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	MAT-028-019	مَتَّى ٢٨:١٩	فَٱذْهَبُوا وَتَلْمِذُوا جَمِيعَ ٱلْأُمَمِ وَعَمِّدُوهُمْ بِٱسْمِ ٱلْآبِ وَٱلِٱبْنِ وَٱلرُّوحِ ٱلْقُدُسِ.
Holy-Bible---Arabic---New-Arabic-Bible	JOH-003-016	يوحنَّا ٣:١٦	لأَنَّهُ هكَذَا أَحَبَّ اللهُ الْعَالَمَ حَتَّى بَذَلَ ابْنَهُ الْوَحِيدَ، لِكَيْ لَا يَهْلِكَ كُلُّ مَنْ يُؤْمِنُ بِهِ، بَلْ تَكُونُ لَهُ الْحَيَاةُ الأَبَدِيَّةُ.
Holy-Bible---Arabic---New-Arabic-Bible	GEN-003-024	تكوين ٣:٢٤	وَهَكَذَا طَرَدَ اللهُ الإِنْسَانَ مِنْ جَنَّةِ عَدْنٍ، وَأَقَامَ مَلائِكَةَ الْكَرُوبِيمِ وَسَيْفاً نَارِيًّا مُتَقَلِّباً شَرْقِيَّ الْجَنَّةِ لِحِرَاسَةِ الطَّرِيقِ الْمُفْضِيَةِ إِلَى «شَجَرَةِ الْحَيَاةِ».
Holy-Bible---Arabic---New-Arabic-Bible	LUK-023-034	لُوقا ٢٣:٣٤	وَقَالَ يَسُوعُ: «يَا أَبِي، اغْفِرْ لَهُمْ، لأَنَّهُمْ لَا يَدْرُونَ مَا يَفْعَلُونَ!» وَاقْتَسَمُوا ثِيَابَهُ مُقْتَرِعِينَ عَلَيْهَا.
Holy-Bible---Arabic---New-Arabic-Bible	REV-021-002	رُؤيا ٢١:٢-٣	وَأَنَا رَأَيْتُ الْمَدِينَةَ الْمُقَدَّسَةَ، أُورُشَلِيمَ الْجَدِيدَةَ، نَازِلَةً مِنَ السَّمَاءِ مِنْ عِنْدِ اللهِ، مُجَهَّزَةً كَأَنَّهَا عَرُوسٌ مُزَيَّنَةٌ لِعَرِيسِهَا. وَسَمِعْتُ صَوْتاً هَاتِفاً مِنَ الْعَرْشِ: «الآنَ صَارَ مَسْكَنُ اللهِ مَعَ النَّاسِ، هُوَ يَسْكُنُ بَيْنَهُمْ، وَهُمْ يَصِيرُونَ شَعْباً لَهُ. اللهُ نَفْسُهُ يَكُونُ مَعَهُمْ إِلهاً لَهُمْ!
Holy-Bible---Arabic---New-Arabic-Bible	HEB-011-008	عِبرانِيّين ١١:٨	وَبِالإِيمَانِ، لَبَّى إِبْرَاهِيمُ دَعْوَةَ اللهِ، فَتَرَكَ وَطَنَهُ وَانْطَلَقَ إِلَى أَرْضٍ أُخْرَى وَعَدَهُ اللهُ بِأَنْ يُوَرِّثَهُ إِيَّاهَا. وَلَمَّا خَرَجَ مِنْ بَيْتِهِ، لَمْ يَكُنْ يَعْرِفُ أَيْنَ يَتَوَجَّهُ.
Holy-Bible---Arabic---New-Arabic-Bible	EXO-013-017	خرُوج ١٣:١٧	وَعِنْدَمَا أَطْلَقَ فِرْعَوْنُ الشَّعْبَ لَمْ يَقُدْهُمُ اللهُ فِي طَرِيقِ بِلادِ الْفِلِسْطِينِيِّينَ عَلَى الرَّغْمِ مِنْ قِصَرِهَا. لأَنَّ اللهَ قَالَ لِئَلّا يَنْدَمَ الشَّعْبُ إِذَا تَعَرَّضَ لِحَرْبٍ وَيَرْجِعَ إِلَى مِصْرَ.
Holy-Bible---Arabic---New-Arabic-Bible	MAR-010-045	مَرْقُس ١٠:٤٥	فَحَتَّى ابْنُ الإِنْسَانِ قَدْ جَاءَ لَا لِيُخْدَمَ، بَلْ لِيَخْدِمَ وَيَبْذِلَ نَفْسَهُ فِدْيَةً عَنْ كَثِيرِينَ».
Holy-Bible---Arabic---New-Arabic-Bible	ROM-001-001	رُوما ١:١	مِنْ بُولُسَ عَبْدِ يَسُوعَ المَسِيحِ، الرَّسُولِ الْمَدْعُوِّ وَالْمُفْرَزِ لإِنْجِيلِ اللهِ،
Holy-Bible---Arabic---New-Arabic-Bible	MAT-028-019	مَتَّى ٢٨:١٩	فَاذْهَبُوا إِذَنْ، وَتَلْمِذُوا جَمِيعَ الأُمَمِ، وَعَمِّدُوهُمْ بِاسْمِ الآبِ وَالاِبْنِ وَالرُّوحِ الْقُدُسِ؛
Holy-Bible---Aramaic---Syriac-Peshitta	JOH-003-016	ܝܘܚܢܢ 3:16	ܗܟܢܐ ܓܝܪ ܐܚܒ ܐܠܗܐ ܠܥܠܡܐ ܐܝܟܢܐ ܕܠܒܪܗ ܝܚܝܕܝܐ ܢܬܠ ܕܟܠ ܡܢ ܕܡܗܝܡܢ ܒܗ ܠܐ ܢܐܒܕ ܐܠܐ ܢܗܘܘܢ ܠܗ ܚܝܐ ܕܠܥܠܡ
Holy-Bible---Aramaic---Syriac-Peshitta	GEN-003-024		
Holy-Bible---Aramaic---Syriac-Peshitta	LUK-023-034	ܠܘܩܘܣ 23:34	ܗܘ ܕܝܢ ܝܫܘܥ ܐܡܪ ܗܘܐ ܐܒܐ ܫܒܘܩ ܠܗܘܢ ܠܐ ܓܝܪ ܝܕܥܝܢ ܡܢܐ ܥܒܕܝܢ ܘܦܠܓܘ ܢܚܬܘܗܝ ܘܐܪܡܝܘ ܥܠܝܗܘܢ ܦܤܐ
Holy-Bible---Aramaic---Syriac-Peshitta	REV-021-002	ܓܠܝܢܐ 21:2-3	ܘܠܡܕܝܢܬܐ ܩܕܝܫܬܐ ܐܘܪܫܠܡ ܚܕܬܐ ܚܙܝܬܗ ܕܢܚܬܐ ܡܢ ܫܡܝܐ ܡܢ ܨܝܕ ܐܠܗܐ ܕܡܛܝܒܐ ܐܝܟ ܟܠܬܐ ܡܨܒܬܬܐ ܠܒܥܠܗ ܘܫܡܥܬ ܩܠܐ ܪܒܐ ܡܢ ܫܡܝܐ ܕܐܡܪ ܗܐ ܡܫܪܝܐ ܕܐܠܗܐ ܥܡ ܒܢܝܢܫܐ ܘܫܪܐ ܥܡܗܘܢ ܘܗܢܘܢ ܥܡܐ ܕܝܠܗ ܢܗܘܘܢ ܘܗܘ ܐܠܗܐ ܥܡܗܘܢ ܘܢܗܘܐ ܠܗܘܢ ܐܠܗܐ
Holy-Bible---Aramaic---Syriac-Peshitta	HEB-011-008	ܥܒܪ̈ܝܐ 11:8	ܒܗܝܡܢܘܬܐ ܐܒܪܗܡ ܟܕ ܐܬܩܪܝ ܐܫܬܡܥ ܕܢܦܘܩ ܠܐܬܪܐ ܗܘ ܕܥܬܝܕ ܗܘܐ ܕܢܤܒ ܠܝܪܬܘܬܐ ܘܢܦܩ ܟܕ ܠܐ ܝܕܥ ܗܘܐ ܠܐܝܟܐ ܐܙܠ
Holy-Bible---Aramaic---Syriac-Peshitta	EXO-013-017		
Holy-Bible---Aramaic---Syriac-Peshitta	MAR-010-045	ܡܪܩܘܣ 10:45	ܐܦ ܒܪܗ ܓܝܪ ܕܐܢܫܐ ܠܐ ܐܬܐ ܕܢܫܬܡܫ ܐܠܐ ܕܢܫܡܫ ܘܕܢܬܠ ܢܦܫܗ ܦܘܪܩܢܐ ܚܠܦ ܤܓܝܐܐ
Holy-Bible---Aramaic---Syriac-Peshitta	ROM-001-001	ܪ̈ܗܘܡܝܐ 1:1	ܦܘܠܘܤ ܥܒܕܐ ܕܝܫܘܥ ܡܫܝܚܐ ܩܪܝܐ ܘܫܠܝܚܐ ܕܐܬܦܪܫ ܠܐܘܢܓܠܝܘܢ ܕܐܠܗܐ
Holy-Bible---Aramaic---Syriac-Peshitta	MAT-028-019	ܡܬܝ 28:19	ܙܠܘ ܗܟܝܠ ܬܠܡܕܘ ܟܠܗܘܢ ܥܡܡܐ ܘܐܥܡܕܘ ܐܢܘܢ ܒܫܡ ܐܒܐ ܘܒܪܐ ܘܪܘܚܐ ܕܩܘܕܫܐ
Holy-Bible---Arapaho---Arapaho-Luke	JOH-003-016		
Holy-Bible---Arapaho---Arapaho-Luke	GEN-003-024		
Holy-Bible---Arapaho---Arapaho-Luke	LUK-023-034	Luke 23:34	Haenaāenehede Hejavaneauthusau, Nāchau jaegudanauwunene; hanau daujāenuu hasedauthee. Nau haejaanauwaunenau, hedāchaunene, nau haeheedaudauusadaunenau.
Holy-Bible---Arapaho---Arapaho-Luke	REV-021-002		 
Holy-Bible---Arapaho---Arapaho-Luke	HEB-011-008		
Holy-Bible---Arapaho---Arapaho-Luke	EXO-013-017		
Holy-Bible---Arapaho---Arapaho-Luke	MAR-010-045		
Holy-Bible---Arapaho---Arapaho-Luke	ROM-001-001		
Holy-Bible---Arapaho---Arapaho-Luke	MAT-028-019		
Holy-Bible---Armenian---Armenian-Bible-Eastern	JOH-003-016	ՅՈՎՀԱՆՆՈԻ 3:16	քանի որ Աստուած այնքան սիրեց աշխարհը, որ մինչեւ իսկ իր միածին Որդուն տուեց, որպէսզի, ով նրան հաւատում է, չկորչի, այլ ընդունի յաւիտենական կեանքը.
Holy-Bible---Armenian---Armenian-Bible-Eastern	GEN-003-024	ԾՆՆԴՈՑ 3:24	Աստուած դուրս հանեց Ադամին, բնակեցրեց բերկրութեան դրախտի դիմաց եւ հրամայեց քերովբէներին ու բոցեղէն սրին շուրջանակի հսկել դէպի կենաց ծառը տանող ճանապարհները:
Holy-Bible---Armenian---Armenian-Bible-Eastern	LUK-023-034	ՂՈԻԿԱՍ 23:34	Եւ Յիսուս ասաց. «Հա՛յր, ների՛ր դրանց, որովհետեւ չգիտեն, թէ ինչ են անում»: Եւ նրա զգեստները բաժանելու համար վիճակ գցեցին:
Holy-Bible---Armenian---Armenian-Bible-Eastern	REV-021-002		 
Holy-Bible---Armenian---Armenian-Bible-Eastern	HEB-011-008		
Holy-Bible---Armenian---Armenian-Bible-Eastern	EXO-013-017	ԵԼՔ 13:17	Երբ փարաւոնն արձակեց ժողովրդին, Աստուած նրանց կարճ ճանապարհով՝ Փղշտացիների երկրով չառաջնորդեց, որովհետեւ Աստուած մտածեց, թէ ժողովուրդը պատերազմի բռնուելով՝ գուցէ վախենայ ու Եգիպտոս վերադառնայ:
Holy-Bible---Armenian---Armenian-Bible-Eastern	MAR-010-045	ՄԱՐԿՈՍ 10:45	որովհետեւ մարդու Որդին էլ չեկաւ ծառայութիւն ընդունելու, այլ՝ ծառայելու եւ տալու իր անձը որպէս փրկանք շատերի փոխարէն»:
Holy-Bible---Armenian---Armenian-Bible-Eastern	ROM-001-001		
Holy-Bible---Armenian---Armenian-Bible-Eastern	MAT-028-019	ՄԱՏԹԷՈՍ 28:19	Գնացէ՛ք ուրեմն աշակերտ դարձրէ՛ք բոլոր ազգերին, նրանց մկրտեցէ՛ք Հօր եւ Որդու եւ Սուրբ Հոգու անունով:
Holy-Bible---Armenian---Armenian-Bible-Western	JOH-003-016	ՅՈՎՀԱՆՆՈԻ 3:16	Որովհետեւ Աստուած ա՛յնպէս սիրեց աշխարհը, որ մինչեւ անգամ տուաւ իր միածին Որդին, որպէսզի ո՛վ որ հաւատայ անոր՝ չկորսուի, հապա ունենայ յաւիտենական կեանքը:
Holy-Bible---Armenian---Armenian-Bible-Western	GEN-003-024		
Holy-Bible---Armenian---Armenian-Bible-Western	LUK-023-034	ՂՈԻԿԱՍ 23:34	Յիսուս ըսաւ. «Հա՛յր, ներէ՛ անոնց, որովհետեւ չեն գիտեր թէ ի՛նչ կ՚ընեն»: Յետոյ անոր հանդերձները բաժնելու ատեն՝ վիճակ ձգեցին:
Holy-Bible---Armenian---Armenian-Bible-Western	REV-021-002	ՅԱՅՏՆՈՒԹԻՒՆ ՅՈՎՀԱՆՆՈՒ 21:2-3	Տեսայ սուրբ քաղաքը՝ նո՛ր Երուսաղէմը, որ կ՚իջնէր երկինքէն՝ Աստուծմէ, իր ամուսինին համար զարդարուած հարսի մը պէս պատրաստուած: Ու լսեցի երկինքէն հզօր ձայն մը՝ որ կ՚ըսէր. «Ահա՛ Աստուծոյ խորանը՝ մարդոց մէջ: Ի՛նք պիտի բնակի հոն, եւ անոնք պիտի ըլլան իր ժողովուրդը. Աստուած ի՛նք պիտի ըլլայ անոնց հետ՝ իբր անոնց Աստուածը:
Holy-Bible---Armenian---Armenian-Bible-Western	HEB-011-008	ԵԲՐԱՅԵՑԻՍ 11:8	Հաւատքո՛վ Աբրահամ հնազանդեցաւ, երբ կանչուեցաւ մեկնելու տեղ մը՝ որ պիտի ստանար իբր ժառանգութիւն, ու մեկնեցաւ՝ առանց գիտնալու թէ ո՛ւր կ՚երթար:
Holy-Bible---Armenian---Armenian-Bible-Western	EXO-013-017		
Holy-Bible---Armenian---Armenian-Bible-Western	MAR-010-045	ՄԱՐԿՈՍ 10:45	Քանի որ մարդու Որդին եկաւ ո՛չ թէ սպասարկութիւն ընդունելու, հապա՝ սպասարկելու եւ իր անձը իբր փրկանք տալու շատերու համար»:
Holy-Bible---Armenian---Armenian-Bible-Western	ROM-001-001	ՀՌՈՎՄԱՅԵՑԻՍ 1:1	Պօղոս, ծառայ Յիսուս Քրիստոսի, կանչուած՝ առաքեալ ըլլալու, նշանակուած՝ քարոզելու Աստուծոյ աւետարանը,
Holy-Bible---Armenian---Armenian-Bible-Western	MAT-028-019	ՄԱՏԹԷՈՍ 28:19	Ուրեմն գացէ՛ք, աշակերտեցէ՛ք բոլոր ազգերը, մկրտեցէ՛ք զանոնք Հօր, Որդիին եւ Սուրբ Հոգիին անունով:
Holy-Bible---Assamese---Assamese-Bible	JOH-003-016	যোহন ৩:১৬	কাৰণ ঈশ্বৰে জগতক ইমান প্ৰেম কৰিলে যে, তেওঁ নিজৰ একমাত্ৰ পুত্ৰকে দান কৰিলে, যাতে যি কোনোৱে তেওঁত বিশ্বাস কৰে, তেওঁ নষ্ট নহয়, কিন্তু অনন্ত জীৱন পায়।
Holy-Bible---Assamese---Assamese-Bible	GEN-003-024	আদিপুস্তক ৩:২৪	এইদৰে ঈশ্বৰে মানুহক এদন বাৰীৰ পৰা খেদাই দিলে; তাৰ পাছত জীৱন-বৃক্ষৰ ওচৰলৈ যোৱাৰ পথ ৰখিবলৈ, এদন বাৰীৰ পুবফালে কৰূবসকলক ৰাখিলে আৰু চাৰিওফালে ঘূৰি থকা এখন জলন্তময় তৰোৱালকো তাত থলে।
Holy-Bible---Assamese---Assamese-Bible	LUK-023-034	লূক ২৩:৩৪	তেতিয়া যীচুৱে ক’লে, “হে পিতৃ, এওঁলোকক ক্ষমা কৰা; কিয়নো এওঁলোকে কি কৰিছে, সেই বিষয়ে নাজানে।” পাছত তেওঁলোকে চিঠি খেলি তেওঁৰ বস্ত্ৰ ভগাই ললে।
Holy-Bible---Assamese---Assamese-Bible	REV-021-002	প্ৰকাশিত বাক্য ২১:২-৩	আৰু দৰাৰ কাৰণে বিভূষিতা কন্যা যেনে, তেনেকৈ যুগুত হোৱা, সেই পবিত্ৰ নগৰ নতুন যিৰূচালেমক, ঈশ্বৰৰ পৰা, অৰ্থাৎ স্বৰ্গৰ পৰা নমা দেখিলোঁ। পাছত মই সেই সিংহাসনৰ পৰা এই মহা আকাশ-বাণী শুনিলোঁ, “সৌৱা চোৱা!” লোক সকলৰ সহিত ঈশ্বৰৰ নিবাস আৰু তেওঁলোকৰ সহিত তেওঁ নিবাস কৰিব৷ তেওঁলোক তেওঁৰ নিজ লোক হব, আৰু ঈশ্বৰ নিজে সঙ্গী হৈ তেওঁলোকৰ ঈশ্বৰ হ’ব৷
Holy-Bible---Assamese---Assamese-Bible	HEB-011-008	ইব্ৰী ১১:৮	ঈশ্বৰত বিশ্বাস আছিল কাৰণে ঈশ্বৰে যেতিয়া অব্ৰাহামক আহ্বান কৰিলে, তেতিয়া তেওঁ বাধ্য হ’ল, আৰু তেওঁক যি দেশ দিম বুলি ঈশ্বৰে কৈছিল, সেই দেশ অধিকাৰ কৰিবৰ বাবে তেওঁ গৈছিল; আৰু ক’লৈ যাব লাগে, সেই বিষয়ে নাজানিও ওলাই গৈছিল।
Holy-Bible---Assamese---Assamese-Bible	EXO-013-017	যাত্রাপুস্তক ১৩:১৭	ফৰৌণে যেতিয়া লোকসকলক যাবলৈ এৰি দিলে, তেতিয়া পলেষ্টীয়াসকলৰ দেশেৰে বাট চমু আছিল যদিও, ঈশ্বৰে তেওঁলোকক সেই বাটেদি নিনিলে। কিয়নো ঈশ্বৰে ক’লে, “হয়তো যুদ্ধৰ সন্মুখিন হ’লে লোকসকলে মন সলনি কৰি মিচৰলৈ উভটি যাব।”
Holy-Bible---Assamese---Assamese-Bible	MAR-010-045	মাৰ্ক ১০:৪৫	কিয়নো মানুহৰ পুত্ৰ সেৱা শুশ্ৰূষা পাবৰ বাবে নহয়, কিন্তু সেৱা শুশ্ৰূষা কৰিবলৈ আৰু অনেকৰ মুক্তিৰ মূল্যৰ অৰ্থে নিজৰ প্ৰাণ দিবলৈহে আহিল।”
Holy-Bible---Assamese---Assamese-Bible	ROM-001-001	ৰোমীয়া ১:১	মই পৌল, যীচু খ্ৰীষ্টৰ এজন দাস আৰু ঈশ্বৰৰ শুভবাৰ্তাৰ কাৰণে পৃথক হোৱা আমন্ত্ৰিত পাঁচনি;
Holy-Bible---Assamese---Assamese-Bible	MAT-028-019	মথি ২৮:১৯	এই হেতুকে, তোমালোক যোৱা; আৰু সকলো জাতিকে শিষ্য কৰি, পিতৃ, পুত্ৰ আৰু পবিত্ৰ আত্মাৰ নামেৰে তেওঁলোকক বাপ্তাইজ কৰা;
Holy-Bible---Azerbaijani---Azerbaijani-Bible	JOH-003-016	Yəhya 3:16	Çünki Allah dünyanı elə sevdi ki, vahid Oğlunu verdi; bunu ona görə etdi ki, Ona iman edən hər kəs həlak olmasın, amma əbədi həyata malik olsun.
Holy-Bible---Azerbaijani---Azerbaijani-Bible	GEN-003-024	Yaradiliş 3:24	Rəbb Allah insanı qovdu. O, Eden bağının şərqinə keruvlarını və hər tərəfə fırlanan odlu qılıncını qoydu ki, həyat ağacına gedən yolu qorusunlar.
Holy-Bible---Azerbaijani---Azerbaijani-Bible	LUK-023-034	Luka 23:34	Amma İsa deyirdi: «Ata! Onları bağışla, çünki nə etdiklərini bilmirlər». Onlar püşk ataraq paltarlarını aralarında bölüşdürdülər.
Holy-Bible---Azerbaijani---Azerbaijani-Bible	REV-021-002	Vəhy 21:2-3	Mən müqəddəs şəhərin – yeni Yerusəlimin göydən, Allahın yanından endiyini gördüm. Şəhər öz bəyi üçün bəzədilmiş gəlin kimi hazırlanmışdı. Taxtdan belə deyən uca bir səs eşitdim: «Budur, Allahın məskəni insanların arasındadır. Allah onlarla birgə məskən salacaq; onlar Onun xalqı olacaq, Allah Özü onların Allahı olaraq aralarında yaşayacaq.
Holy-Bible---Azerbaijani---Azerbaijani-Bible	HEB-011-008	Ibranilərə 11:8	İbrahim çağırılanda iman vasitəsilə itaətli olub irs alacağı torpağa getdi. O hara getdiyini bilməyərək yola çıxdı.
Holy-Bible---Azerbaijani---Azerbaijani-Bible	EXO-013-017	Çixiş 13:17	Firon xalqı buraxdığı zaman Allah onları Filiştlilərin ölkəsindən yol qısa olduğuna baxmayaraq, o yolla gətirmədi. Çünki O dedi: «Yoxsa xalq müharibə görəndə bəlkə peşman olub Misirə qayıdar».
Holy-Bible---Azerbaijani---Azerbaijani-Bible	MAR-010-045	Mark 10:45	Çünki Bəşər Oğlu gəlmədi ki, Ona xidmət etsinlər, gəldi ki, Özü xidmət etsin və çoxlarını satın almaq üçün Öz canını fidyə versin».
Holy-Bible---Azerbaijani---Azerbaijani-Bible	ROM-001-001	Romalilara 1:1	İsa Məsihin qulu, həvari olmağa çağırılmış, Allahın Müjdəsini yaymaq üçün seçilmiş mən Pauldan salam!
Holy-Bible---Azerbaijani---Azerbaijani-Bible	MAT-028-019	Matta 28:19	Beləliklə, gedin, bütün millətləri Mənim şagirdim edin; onları Ata, Oğul və Müqəddəs Ruh adı ilə vəftiz edin;
Holy-Bible---Bangwinji---Bangwinji-Bible	JOH-003-016	Yuhanna 3:16	kwama ciu kale wo ri cin neken bibwe ce wiin cuar, la wo ne bilenke cineneri mani a bwiya ti la wi ki lai dume diriri.
Holy-Bible---Bangwinji---Bangwinji-Bible	GEN-003-024		
