# File Name: SKIPPED.txt
# File Size: 1160274     
# File Date: 03/30/2021 19:33:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	TEXT
Holy-Bible---Croatian---Croatian-Bible	019	PSA	053	001	Zborovođi. Prema napjevu “Bolest”. Poučna pjesma. Davidova.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	054	001	Zborovođi. Uza žičana glazbala. Poučna pjesma. Davidova. Kad su Zifijci došli k Šaulu govoreći: “David se kod nas
Holy-Bible---Croatian---Croatian-Bible	019	PSA	055	001	Zborovođi. Uza žičana glazbala. Poučna pjesma. Davidova.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	056	001	Zborovođi. Prema napjevu “Golubica nijema u daljini”. Davidov. Miktam. Kad su ga u Gatu uhitili Filistejci.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	057	001	Zborovođi. Po napjevu “Ne pogubi!” Davidov. Miktam. Kad je ispred Šaula pobjegao u pećinu.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	058	001	Zborovođi. Po napjevu “Ne pogubi!” Davidov. Miktam.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	059	001	Zborovođi. Po napjevu “Ne pogubi!” Davidov. Miktam. Kad je Šaul opkolio kuću da ubije Davida.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	060	001	Zborovođi. Po napjevu “Ljiljan svjedočanstva”. Miktam. Davidov. Kad je David izišao protiv Aram Naharajima i protiv Aram Sobe i kad je Joab na povratku potukao dvanaest tisuća Edomaca
Holy-Bible---Croatian---Croatian-Bible	019	PSA	061	001	Zborovođi. Uza žičana glazbala. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	062	001	Zborovođi. Po Jedutunu. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	063	001	Psalam. Davidov. Dok David bijaše u Judejskoj pustinji.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	064	001	Zborovođi. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	065	001	Zborovođi. Psalam. Davidov. Pjesma.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	067	001	Zborovođi. Uza žičana glazbala. Psalam. Pjesma.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	068	001	Zborovođi. Davidov. Psalam. Pjesma.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	069	001	Zborovođi. Po napjevu “Ljiljani”. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	070	001	Zborovođi. Davidov. Za spomen.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	075	001	Zborovođi. Po napjevu “Ne razori!” Psalam. Asafov. Pjesma.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	076	001	Zborovođi. Uza žičana glazbala. Psalam. Asafov. Pjesma.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	077	001	Zborovođi. Po Jedutunu. Asafov. Psalam.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	080	001	Zborovođi. Po napjevu “Ljiljan svjedočanstva”. Asafov. Psalam.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	081	001	Zborovođi. Po napjevu “Tijesci”. Asafov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	083	001	Pjesma. Psalam. Asafov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	084	001	Zborovođi. Po napjevu “Tijesci”. Sinova Korahovih.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	085	001	Zborovođi. Sinova Korahovih. Psalam.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	088	001	Pjesma. Psalam. Sinova Korahovih. Zborovođi. Po napjevu “Bolest”. Za pjevanje. Poučna pjesma. Ezrahijca Hemana.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	089	001	Poučna pjesma. Ezrahijca Etana.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	092	001	Psalam. Pjesma. Za dan subotnji.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	102	001	Molitva nevoljnika koji je klonuo pa svoju tugu izlijeva
Holy-Bible---Croatian---Croatian-Bible	019	PSA	108	001	Pjesma. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	140	001	Zborovođi. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	142	001	Poučna pjesma. Davidova. Kad bijaše u spilji. Molitva.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	150	001	Aleluja!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	024	I hodahu posred plamena hvaleći Boga, slaveći Gospoda.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	025	Stavši Azarja otvori usta i pomoli se usred ognja ovako:
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	026	“Blagoslovljen i hvaljen budi, Gospode, Bože otaca naših, i neka ime tvoje bude slavljeno dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	027	Pravedan si u svemu što učini nama, sva su tvoja djela istinita, svi tvoji putovi pravi, svi tvoji sudovi istina.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	028	Po pravdi si presudio u svemu što si poslao na nas i na sveti grad otaca naših, Jeruzalem: zbog naših si grijeha ovako postupio s nama, u istini i pravednosti.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	029	Zgriješili smo i počinili bezakonje odmetnuvši se od tebe, sagriješili teško; ne slušasmo naredbe tvoje.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	030	Nismo ih čuvali i nismo vršili što nam bijaše naređeno za naše dobro.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	031	Sve što si poslao na nas, sve što si nam učinio, pravedno si učinio.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	032	Kad si nas predao u ruke bezakonika, dušmana naših, najgorih odmetnika, i kralju nepravednom, najgorem na zemlji,
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	033	te danas ne smijemo otvoriti usta: sramota i ruglo pokrivaju one koji ti služe i tebi se klanjaju.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	034	O, ne zapusti nas zauvijek, zbog imena svoga, i ne razvrgni Saveza svoga,
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	035	ne uskrati nam svoje milosrđe zbog Abrahama, miljenika svoga; zbog Izaka, sluge svojega; zbog Izraela, sveca svojega,
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	036	kojima si obećao umnožit' potomstvo kao zvijezde nebeske i kao pijesak na obali morskoj.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	037	Gospode, postadosmo najmanji među narodima, prezreni po svoj zemlji poradi grijeha svojih.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	038	Nemamo sada vojvode, proroka, kneza, paljenice, klanice, prinosa, kada, ni mjesta gdje da prinesemo prvence tebi
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	039	Üi da nađemo milosrđe. No primi nas slomljene duše, duha ponizna!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	040	Kao paljenice ovnova i bikova, kao tisuće pretilih janjaca - takva nek' bude žrtva naša pred tobom danas da nas pomiri s tobom - jer se neće postidjeti oni koji se u te uzdaju.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	041	Odsada ćemo svim srcem slijediti tebe, tebe se bojati i tražiti lice tvoje.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	042	Ne postidi nas, već postupaj s nama po blagosti svojoj, po velikoj ljubavi svojoj!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	043	Izbavi nas, kao nekoć, čudesima svojim, proslavi ime svoje, Gospode!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	044	Neka se postide oni koji zlo čine slugama tvojim: neka se postide svoga nasilja i neka im sila skršena bude!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	045	Nek' znaju da si ti jedini Bog i Gospod, slavan po svoj zemlji!” Anđeo Gospodnji u užarenoj peći
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	046	Kraljeve sluge koje ih bijahu bacile u peć neprestano poticahu oganj zemnim uljem, smolom, kučinama i vinjagom,
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	047	tako te plamen lizaše četrdeset i devet lakata iznad peći.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	048	Buknuvši, spali Kaldejce koji se nađoše oko peći.
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	049	No Anđeo Gospodnji siđe u peć k Azarji i njegovim drugovima; izagna plamen ognja iz peći
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	050	te usred peći puhaše kao rosni lahor, a oganj ih ne dodirnu niti im zadade bol ili kakvu neugodnost. Pjesma triju mladića
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	051	Tada sva trojica zapjevaše u peći jednim glasom, slaveći i blagoslivljajući Boga:
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	052	“Blagoslovljen budi, Gospodine, Bože otaca naših, hvaljen i uzvisivan dovijeka! Blagoslovljeno, slavno i sveto ime tvoje, hvaljeno i uzvisivano dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	053	Blagoslovljen budi u Domu svete slave svoje, hvaljen i slavljen dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	054	Blagoslovljen budi na prijestolju kraljevstva svoga, hvaljen i uzvisivan dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	055	Blagoslovljen, ti što istražuješ bezdane i sjediš nad kerubima, hvaljen i uzvisivan dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	056	Blagoslovljen budi na svodu nebeskom, hvaljen i slavljen dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	057	Sva djela Gospodnja, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	058	Anđeli Gospodnji, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	059	Nebesa, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	060	Sve vode nad nebesima, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	061	Sve sile Gospodnje, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	062	Sunce i mjeseče, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	063	Zvijezde nebeske, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	064	Sve kiše i rose, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	065	Svi vjetrovi, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	066	Ognju i žare, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	067	Studeni i vrućino, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	068	Rose i mrazovi, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	069	Lede i studeni, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	070	Tuče i snijezi, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	071	Noći i dani, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	072	Svjetlo i tmino, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	073	Munje i oblaci, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	074	Zemlja neka blagoslivlje Gospoda: neka ga hvali i uzvisuje dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	075	Bregovi i brežuljci, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	076	Sve raslinstvo na zemlji, blagoslivljaj Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	077	Izvori, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	078	Mora i rijeke, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	079	Kitovi i sve što se miče u vodama, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	080	Ptice nebeske, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
Holy-Bible---Croatian---Croatian-Bible	027	DAN	003	081	Sve divlje i pitome životinje, blagoslivljajte Gospoda: hvalite i uzvisujte ga dovijeka!
