# File Name: Hebrew_Lexicon_Tyndale.txt
# File Size: 1254822     
# File Date: 02/15/2021 14:23:07
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Hebrew Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Abridged BDB by http://onlinebible.net, edited by Tyndale House Cambridge
# Source Definitions Copyright: Larry Pierce, larrypierce@alumni.uwaterloo.ca
# Source Definitions Copyright: Explicit usage permission required to use definition in your application
# Source Definitions Copyright: Larry Pierce granted permission for Nainoia Inc applications on 3/11/2019
#
# COLUMNS
#	STRONGS
#		These Extended Strong Numbers are mapped to BDB (and thereby to other modern lexicons) by OpenScriptures.org.
#		This adds about 800 words which are found in modern lexicons but were not differentiated by Strong.
#		Numbers beyond 9000 include non-lexical prefixes and suffixed. They were created by Tyndale House, Cambridge
#		They are designed to be backward compatible with software that uses Strongs numbers. 
#	WORD
#		Hebrew form	based on BDB, then normalised
#	TRANS
#		Transliteration
#	GLOSS
#		A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH
#		These were created by Tyndale scholars as a simple grammatical value of the main word represented as Language:Type-Gender-Extra. 
#		Language:Type-Gender-Extra.   Language is A=Aramaic, H=Hebrew, G=Greek and n+Name (which is not language specific). 
#		Type is A=Adjective, Adv=Adverb, Art=Article, Cond=Conditional, Conj=Conjunction, Cor=Correlative, DemP=Demonstrative Pn, ImpP=Impersonal Pn, Intg=Interogative,
#			Intj=Interjection, N=Noun, Neg=Negative, Part=Particle, Prep=Preposition, PerP=Personal Pn, PosP=Possessive Pn, RefP=Reflexive Pn, RelP=Relative Pn, V=Verb. 
#		Gender is F=Female, M=Male, N=Neuter, C=Common and P or S is optionally added for Plural Singular
#		Extra for Names is L=Location, P=Person, LG/PG=Gentilic, T=Title (i.e. any other capitalised nouns such as titles, months, gods, planets etc)
#
#		(notes re Morph)
#		Location is only used for places not named after people - eg: Israel = N:N-M-P (for the Person, and nation); Jerusalem = N:N--L; Canaanite is N:N-M-LG; Israelitess is N:N-F-PG
#		Location is a geographical entity such as river, mountain or city eg "Dan", but Gentilic is used for Amon, Syria, Judah, or the tribal area of Dan. The idea is that someone from
#		Dan is probably related to Dan unless he is called a Hittite, but someone from Jerusalem or the city of Dan could be from anywhere even though he is named after the city.
#		So a "Shulemite" (who is prob from Salem ie Shalem aka Jerusalem) is dark-skinned and perhaps not a native from the area.
#		Title is a misc category that incl names of gods, musical term & months and offices such as Pharaoh unless referring to an individual eg Pharaoh Necho who is N:N-M-P
#		When F or M occ with L or T it refers to the gender of that person, not the location, so Jerusalem = N:N--L, Jerusalemites = N:N-G-L, Jerusalemitess = N:N-F-L 
#		When Gentilics related to a person the STEP_LexicalTag points to the Person eg Danites => Dan.  When Gentilics point to a place, the STEP_LexicalTag points to that place,
#		eg Gileadites => Gilead. When there is no numbered tag for the person or place, we probably aren't sure what it is, so the STEP_LexicalTag doesn't have anywhere different to point,
#		eg. Girgashites. Some very common Gentilics (eg Levite) have gained a meaning of their own which may be related to a person but much less so - so the STEP_LexicalTag does not
#		redirect to the entry for that person. 
#		Odd ones: Jew=N:N-G-P, Jewish=N:A, Jewess+Ammonitess=N:N-G-P-F, Canaanite-trader=N:N-G-P / N:N-G-T, Chaldean-magi=N:N-G-L / N:N-G-T,
#			Nephusim=N:N-G-T, Rephaim=N:N-G-P / N:N-G-T, Shulamite+Shunammite+Carmelitess+Jezreelitess=N:N-F-L
#	DEF
#		Definitions are based on the Abridged BDB by Online Bible, and edited to conform with the extended Strongs. They are for guidence only.
#		Permission should be gained from Online Bible before these are applied in any project.  These defs refer to J. Green's A Concise Lexicon
#		of the Biblical Languages (CLBL) and Harris, Archer, & Waltke's Theological Wordbook of the Old Testament (TWOT),
#		These definitions were edited to align with the augmented Strongs by Tyndale House Cambridge. 
#
STRONGS	WORD	TRANS	GLOSS	MORPH	DEF
H33	אֲבִי הָעֶזְרִי	a.vi ha.ez.ri	Abi-ezrite	N:N--PG	Abiezrite = "my father is help" one of the family of Abiezer, a descendant of Joseph's son, Manasseh
H34	אֶבְיוֹן	ev.yon	needy	H:A-M	1) in want, needy, chiefly poor, needy person 2) subject to oppression and abuse 3) needing help, deliverance from trouble, especially as delivered by God 4) general reference to lowest class
H35	אֲבִיּוֹנָה	a.viy.yo.nah	desire	H:N-F	caper-berry-of stimulating desire
H36	אֲבִיטוּב	a.vi.tuv	Abitub	N:N-M-P	Abitub = "my father is good(ness)" son of Shaharaim, a Benjamite
H37	אֲבִיטָ֑ל	a.vi.tal	Abital	N:N-F-P	Abital = "my father is (the) dew" a wife of David
H38	אֲבִיָּם	a.viy.yam	Abijam	N:N-M-P	Abijam = "my father is the sea" or "Yah(u) is (my) father" king of Judah, son and successor of Rehoboam
H39	אֲבִימָאֵל	a.vi.ma.el	Abimael	N:N-M-P	Abimael = "my father is El (God)" son of Joktan, descendant of Shem
H40	אֲבִימֶ֫לֶךְ	a.vi.me.lekh	Abimelech	N:N-M-P	Abimelech = "Melek is father" or "my father is king" 1) king of Gerar in Abraham's time 2) king of Gath in David's time; maybe title of Philistine kings 3) son of Gideon by a concubine 4) priest, son of Abiathar
H41	אֲבִינָדָב	a.vi.na.dav	Abinadab	N:N-M-P	Abinadab = "my father is noble" or "my father is willing" 1) a man of Gibeah who sheltered the ark 2) second son of Jesse, David's older brother 3) a son of Saul, slain with him by the Philistines
H42	אֲבִינֹ֫עַם	a.vi.no.am	Abinoam	N:N-M-P	Abinoam = "my father is delight" father of Barak, descendant of Naphtali
H43	אֶבְיָסָף	ev.ya.saph	Ebiasaph	N:N-M-P	Ebiasaph = "my father has gathered" a son or descendant of Korah
H44	אֲבִיעֶ֫זֶר	a.vi.e.zer	Abiezer	N:N-M-P	Abiezer = "my father is help" 1) a Manassite, called "son" of Gilead, also son of Gilead's sister 2) a Benjamite, warrior of David
H45	אֲבִי־עַלְבוֹן	a.vi-al.von	Abi-albon	N:N-M-P	Abialbon = "El (God) is my father" one of David's mighty men (hero)
H46	אָבִיר	a.vir	mighty	H:A-M	1) strong, mighty-used only to describe God 2) the Strong-old name for God (poetic)
H47	אַבִּיר	ab.bir	mighty	H:A-M	mighty, valiant 1a) of men 1b) of angels 1c) of animals 1d) (metaph) 1d1) of enemies 1d2) of princes 1d3) of sacrificial objects 1e) obstinate (fig.)
H48	אֲבִירָם	a.vi.ram	Abiram	N:N-M-P	Abiram = "my father is exalted" or "(the) Exalted One is (my) father" 1) a Reubenite, son of Eliab in exodus 2) son of Hiel the Bethelite who worked to rebuild Jericho
H49	אֲבִישַׁג	a.vi.shag	Abishag	N:N-F-P	Abishag = "my father is a wanderer" David's beautiful young nurse
H50	אֲבִישׁוּעַ	a.vi.shu.a	Abishua	N:N-M-P	Abishua = "my father is rescue (safety), or is opulence" son of Phinehas, grandson of Aaron
H51	אֲבִישׁוּר	a.vi.shur	Abishur	N:N-M-P	Abishur = "my father is a wall" son of Shammai, descendant of Judah
H52	אֲבִישַׁי	a.vi.shay	Abishai	N:N-M-P	Abishai = "my father is Jesse" or "my father is a gift" grandson of Jesse, nephew of David via his sister Zeruiah, brother of Joab
H53	אֲבִישָׁלוֹם	a.vi.sha.lom	Absalom	N:N-M-P	Absalom or Abishalom = "my father is peace" 1) father-in-law of Rehoboam 2) third son of David, killer of first-born son Amnon, also leader of revolt against his father-David
H54	אֶבְיָתָר	ev.ya.tar	Abiathar	N:N-M-P	Abiathar = "my father is great" priest, son of Ahitub (Ahimelech), faithful to David, but later rebelled with Adonijah
H55	אָבַךְ	a.vakh	to roll up	H:V	to roll, turn 1a) (Hithpael) to roll, roll up, billow
H56	אָבַל	a.val	to mourn	H:V	to mourn, lament 1a) (Qal) to mourn, lament 1a1) of humans 1a2) of inanimate objects (fig.) 1a2a) of gates 1a2b) of land 1b) (Hiphil) 1b1) to mourn, cause to mourn (fig.) 1c) (Hithpael) 1c1) to mourn 1c2) play the mourner
H57	אָבֵל	a.vel	mourning	H:A	1) mourning 1a) for the dead 1b) because of calamity 1c) of rites of mourning 2) mourner (subst.) 2a) for the dead 2b) for calamity
H58	אָבֵל	a.vel	meadow	H:N-F	meadow (from verb-to grow green, to withstand)
H59	אָבֵל	a.vel	Abel	N:N--L	1) city in northern Israel near Bethmaachah 2) the place where the ark rested in the field of Joshua at Bethshemesh
H60	אֵ֫בֶל	e.vel	mourning	H:N-M	mourning 1a) for the dead 1b) for rites of mourning (metaph) 1c) mourning garb 1d) period of mourning
H61	אֲבָל	a.val	truly	H:Adv	1) truly, verily, surely 2) but, however, howbeit 3) contrariwise, nay rather (neg.)
H62	אָבֵל בֵּית־מֲעַכָה	a.vel bet-ma.a.khah	Abel-beth-maachah	N:N--L	Abel Beth Maachah = "meadow of the house of Maachah" city in northern Israel near Beth Maachah
H63	אָבֵל הַשִּׁטִּים	a.vel hash.shit.tim	Abel-shittim	N:N--L	Abel Shittim = "meadow of acacias" place in lowlands of Moab
H64	אָבֵל כְּרָמִים	a.vel ke.ra.mim	Abel-keramim	N:N--L	Abel Keramim = "meadow of the vineyards" a place in Ammon
H65	אָבֵל מְחוֹלָה	a.vel me.cho.lah	Abel-meholah	N:N--L	Abel Meholah = "meadow of dancing" a city of Issachar, birthplace of Elisha
H66	אַבֵל מַיִם	a.vel ma.yim	Abel-maim	N:N--L	Abel Maim = "meadow of waters" a city in northern Israel (perhaps Abel Beth Maachah)
H67	אָבֵל מִצְרַיִם	a.vel mits.ra.yim	Abel-mizraim	N:N--L	Abel Mizraim = "meadow of Egypt" a place east of the Jordan (perhaps "as fertile as Egypt")
H68	אֶ֫בֶן	e.ven	stone	H:N-F	stone (large or small) 1a) common stone (in natural state) 1b) stone, as material 1b1) of tablets 1b2) marble, hewn stones 1c) precious stones, stones of fire 1d) stones containing metal (ore), tool for work or weapon 1e) weight 1f) plummet (stones of destruction) also made of metal 1g) stonelike objects, eg hailstones, stony heart, ice 1h) sacred object, as memorial Samuel set up to mark where God helped Israel to defeat the Philistines 1i) (simile) 1i1) sinking in water, motionlessness 1i2) strength, firmness, solidity 1i3) commonness 1j) (metaph) 1j1) petrified with terror 1j2) perverse, hard heart
H69	אֶ֫בֶן	e.ven	stone	A:N-F	stone 1a) a (the) stone 1b) stone, material of idols and buildings
H70	אֹבֶן	o.ven	wheel	H:N-M	wheel, disc 1a) potter's wheel 1b) bearing-stool, midwife's stool
H71	אֲבָנָה	a.va.nah	Abana	N:N--L	river Abana, Syrian river flowing through Damascus
H72	אֶבֶן הָעֵזֶר	e.ven ha.e.zer	Eben-ezer	N:N--L	Ebenezer = "stone of help" memorial stone erected by Samuel to mark where God helped Israel to defeat the Philistines-north of Jerusalem
H73	אַבְנֵט	av.net	girdle	H:N-M	girdle, sash, waistband 1a) of high priest 1b) of other priests 1c) of high official
H74	אֲבִינֵר	av.ner	Abner	N:N-M-P	Abner = "my father is a lamp" Saul's cousin and army captain, treacherously slain by Joab
H75	אָבַס	a.vas	to fatten	H:V	to feed, fatten 1a) (Qal) fattened (passive participle)
H76	אֲבַעְבֻּעֹת	a.va.bu.ah	boil	H:N-F	blisters, boils (from root, to swell up)
H77	אֶ֫בֶץ	e.vets	Abez	N:N--L	Abez = "I will make white (or miry)" a city in Issachar
H78	אִבְצָן	iv.tsan	Ibzan	N:N-M-P	Ibzan, "their whiteness (literally their tin - as white" a Bethlehemite judge in time of the judges
H79	אָבַק	a.vaq	to wrestle	H:V	(Niphal) to wrestle, grapple (get dusty), bedust
H80	אָבָק	a.vaq	dust	H:N-M	dust 1a) on ground 1b) clouds (fig.)
H81	אֲבָקָה	a.va.qah	aromatic powder	H:N-F	aromatic powders, powder
H82	אָבַר	a.var	to fly	H:V	(Hiphil) to fly (to move wings)
H83	אֵ֫בֶר	e.ver	wing	H:N-M	pinion, wing 1a) of bird (dove, eagle) 1b) of Babylonian king (fig.)
H84	אֶבְרָה	ev.rah	pinion	H:N-F	pinion, wing 1a) of bird (ostrich, eagle, dove) 1b) of God (metaph)
H85	אַבְרָהָם	av.ra.ham	Abraham	N:N-M-P	Abraham = "father of a multitude" or "chief of multitude" friend of God and founder of Hebrew nation via God's elective covenant
H86	אַבְרֵךְ	av.rekh	to bow	H:V	(meaning dubious) -a shout made to announce Joseph's chariot 1a) bow! 1b) knee
H87	אַבְרָם	av.ram	Abram	N:N-M-P	Abram = "exalted father" original name of Abraham
H88	אֹבֹת	o.vot	Oboth	N:N--L	Oboth = "waterskins" undetermined site of an Israelite camp in the wilderness (perhaps at east boundary of Moab)
H89	אָגֵא	a.ge	Agee	N:N-M-P	Agee = "I shall increase" father of a warrior of David
H90	אֲגָג	a.gag	Agag	N:N-M-P	Agag = "I will overtop" king of Amalek, spared by Saul but slain by Samuel
H91	אֲגָגִי	a.ga.gi	Agagite	N:N--PG	Agagite = "I will overtop" said of Haman, Haman the Agagite
H92	אֲגֻדָּה	a.gud.dah	band	H:N-F	band, binding 1a) cords, bands, thongs (metaphorical of slavery) 1b) bunch of hyssop 1c) band of men, troops 1d) vault (of the heavens), firmament (binding earth to the heavens)
H93	אֱגוֹז	e.goz	nut	H:N-M	nuts
H94	אָגוּר	a.gur	Agur	N:N-M-P	Agur = "gathered" son of Jakeh, an author or compiler of Pr 30:1-33
H95	אֲגוֹרָה	a.go.rah	piece	H:N-F	payment, piece, coin
H96	אֵ֫גֶל	e.gel	drop	H:N-M	drop, reserve supply, collections, stores
H97	אֶגְלַ֫יִם	eg.la.yim	Eglaim	N:N--L	Eglaim = "double reservoir" a town in Moab
H98	אֲגַם	a.gam	pool	H:N-M	pool, troubled pool 1a) troubled or muddy (gloomy) pools, marshes 1b) any pool, pond 1c) swamp reeds, reeds, rush(es)
H99	אָגֵם	a.gem	grieved	H:A	stagnant pond
H100	אַגְמֹן	ag.mon	bulrush	H:N-M	1) rush, bulrush 1a) used as cord or line (of twisted rushes or spun of rush fibre) 1b) of the lowly, insignificant (metaph) 2) sad, drooping 1a) of line of bulrushes 1b) bowing of the head (fig.) 1c) of the lowly (metaph)
H101	אַגָּן	ag.gan	vessel	H:N-M	bowl, basins 1a) basins used in ritual 1b) human body (metaph), curves of the body (simile) 1c) of family of Eliakim (metaph)
H102	אֲגַף	ag.gaph	band	H:N-M	wing (of an army), band, army, hordes
H103	אָגַר	a.gar	to gather	H:V	to gather 1a) (Qal) to gather
H104	אִגְּרָא	ig.g.ra	letter	A:N-F	letter, missive (Aramaic loan-word used in last OT books)
H105	אֲגַרְטָל	a.gar.tal	basin	H:N-M	vessel, basket, leather bag, basin
H106	אֶגְרֹף	eg.roph	fist	H:N-M	fist
H107	אִגֶּ֫רֶת	ig.ge.ret	letter	H:N-F	letter, missive
H108	אֵד	ed	mist	H:N-M	mist
H109	אָדַב	a.dav	to grieve	H:V	to grieve, cause grief 1a) (Hiph) to cause to grieve, to grieve, to cause grief
H110	אַדְבְּאֵל	ad.be.el	Adbeel	N:N-M-P	Adbeel = "chastened of God" third son of Ishmael and grandson of Abraham
H111	אֲדַד	a.dad	Hadad	N:N-M-P	Hadad = "I shall move softly: I shall love" an Edomite enemy God raised up to punish Solomon for his sins
H112	אִדּוֹ	id.do	Iddo	N:N-M-P	Iddo = "I will praise him" a chief Israelite during resettlement
H113	אָדוֹן	a.don	lord	H:N-M	firm, strong, lord, master 1a) lord, master 1a1) reference to men 1a1a) superintendent of household, of affairs 1a1b) master 1a1c) king 1a2) reference to God 1a2a) the Lord God 1a2b) Lord of the whole earth 1b) lords, kings 1b1) reference to men 1b1a) proprietor of hill of Samaria 1b1b) master 1b1c) husband 1b1d) prophet 1b1e) governor 1b1f) prince 1b1g) king 1b2) reference to God 1b2a) Lord of lords (probably = "thy husband, Yahweh") 1c) my lord, my master 1c1) reference to men 1c1a) master 1c1b) husband 1c1c) prophet 1c1d) prince 1c1e) king 1c1f) father 1c1g) Moses 1c1h) priest 1c1i) theophanic angel 1c1j) captain 1c1k) general recognition of superiority 1c2) reference to God 1c2a) my Lord, my Lord and my God 1c2b) Adonai (parallel with Yahweh)
H114	אַדּוֹן	ad.don	Addon	N:N--L	Addon = "powerful" an Israelite?
H115	אֲדוֹרַ֫יִם	a.do.ra.yim	Adoraim	N:N--L	Adoraim = "double glory" city in Judah fortified by Rehoboam about 5 miles or 8 km SW of Hebron
H116	אֱדַ֫יִן	e.da.yin	then	A:Adv	then, afterwards, thereupon, from that time
H117	אַדִּיר	ad.dir	great	H:A	1) great, majestic 1a) of waters of sea 1b) of a tree 1c) of kings, nations, gods 2) great one, majestic one 2a) of nobles, chieftains, servants
H118	אֲדַלְיָא	a.dal.ya	Adalia	N:N-M-P	Adalia = "I shall be drawn up of Jah" fifth son of Haman, executed at same time
H119	אָדֹם	a.dam	to redden	H:V	to be red, red 1a) (Qal) ruddy (of Nazarites) 1b) (Pual) 1b1) to be rubbed red 1b2) dyed red 1b3) reddened 1c) (Hiphil) 1c1) to cause to show red 1c2) to glare 1c3) to emit (show) redness 1d) (Hithpael) 1d1) to redden 1d2) to grow red 1d3) to look red
H120	אָדָם	a.dam	man	H:N-M	man, mankind 1a) man, human being 1b) man, mankind (much more frequently intended sense in OT) 1c) Adam, first man 1d) city in Jordan valley
H121	אָדָם	a.dam	Adam	N:N-M-P/N:N--L	Adam = "red" 1) first man 2) city in Jordan valley
H122a	אָדֹם	a.dom	red	H:A	red, ruddy (of man, horse, heifer, garment, water, lentils)
H122b	אֱדֹם		red stuff	H:N-M	name of a condiment
H123	אֱדוֹם	e.dom	Edom	N:N-M-P/N:N--L	Edom = "red" 1) Edom 2) Edomite, Idumean-descendants of Esau 3) land of Edom, Idumea-land south and south east of Palestine
H124	אֹ֫דֶם	o.dem	sardius	H:N-F	ruby, carnelian (redness) 1a) precious stone
H125	אֲדַמְדָּם	a.dam.dam	reddish	H:A	reddish, be reddish
H126	אַדְמָה	ad.mah	Admah	N:N--L	Admah = "red earth" city in the Siddim valley
H127	אֲדָמָה	a.da.mah	land	H:N-F	ground, land 1a) ground (as general, tilled, yielding sustenance) 1b) piece of ground, a specific plot of land 1c) earth substance (for building or constructing) 1d) ground as earth's visible surface 1e) land, territory, country 1f) whole inhabited earth 1g) city in Naphtali
H128	אֲדָמָה	a.da.mah	Adamah	N:N--L	Adamah = "the earth" city in Naphtali
H129	אֲדָמִי	a.da.mi	Adami	N:N--L	Adami = "man of Adar" a pass or fortified place in Naphtali
