# File Name: Greek_Lexicon_Tyndale.txt
# File Size: 2820042     
# File Date: 02/20/2021 19:26:27
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Greek Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Uses Abbot-Smith or Middle Liddel or Mounce's Teknia when entries are missing. 
# Source Definitions: (AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
# Source Definitions: (ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
# Source Definitions: (MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) - used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
# COLUMNS
#	STRONGS
#		Strong's number with extensions
#		G0001  - G5624,  Strongs numbers from original set made by Strong for Greek behind the KJV  
#		G3203  - G3302,  Not used for some reason
#		G5627  - G5799,  Greek morphology codes  (these numbers aren't used in this lexicon) 
#		G5800  - G5893,  Greek Synonyms - see http://studybible.info/strongs/G5800  (these numbers aren't used in this lexicon) 
#		G6000  - G6090,  Extra Strongs Numbers in NASB mainly for variants not known to Strong. (they remain the same so it is backward-compatible with NASB) 
#		G6100  - G9979,  Extra Greek from Apostolic Bible Project mainly for LXX words not found in NT (including Greek names that don't occur in the Hebrew) 
#		G6091  - G6099,  G9980 - G9999, Extra Greek for variants which are not included in NASB or Apostolic Bible  
#		G10000 - G19999, Greek equivalent of Strongs Hebrew numbers for names and transliterated words eg  Abagtha (H0005) = G10005. When there is a NT equivalent, this is the STEP_LexicalTag
#		G20000 - G20199, Words where  the Full LSJ entry refers to the LXX, but they are not referred to in the AB tagging because they only occur in non-Protestant canons or in MSS other than Vaticanus (used by AB)
#	WORD
#		Greek word in unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing.
#	TRANS
#		Transliteration
#	GLOSS
#		A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH
#		Simple gramatical value of the main word represented as Language:Type-Gender-Extra
#		Language is A=Aramaic, H=Hebrew, G=Greek and N=Name (which is not language specific).
#		Type is A=Adjective, Adv=Adverb, Art=Article, Cond=Conditional, Conj=Conjunction, Cor=Correlative, DemP=Demonstrative Pn, ImpP=Impersonal Pn, Intg=Interogative,
#			Intj=Interjection, N=Noun, Neg=Negative, Part=Particle, Prep=Preposition, PerP=Personal Pn, PosP=Possessive Pn, RefP=Reflexive Pn, RelP=Relative Pn, V=Verb.
#		Gender is F=Female, M=Male, N=Neuter, C=Common and P or S is optionally added for Plural Singular
#		Extra for Names is L=Location, P=Person, LG/PG=Gentilic, T=Title (i.e. any other capitalised nouns such as titles, months, gods, planets etc)
#	DEF
#		Definition, lexical entry.
#		The Brief lexicon uses Abbot-Smith or MiddleLiddel or Mounce's Teknia when entries are missing.
#		(AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
#		(ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
#		(MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) -  used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
STRONGS	WORD	TRANS	GLOSS	MORPH	DEF
G14	ἀγαθοεργέω	agathoergeō	to do good	G:V	-ῶ, to do good, show kindness: 1 Ti 6:18 (Cremer, 8). ἀγαθουργέω, -ῶ, contracted form (rare, see WH, App, 145) of ἀγαθοερ- (which see), to do good: Act.14:17. (AS)
G15	ἀγαθοποιέω	agathopoieō	to do good	G:V	ἀγαθὀ-ποιέω, -ῶ (= cl. ἀγαθὸν ποιεῖν, εὐεργετεῖν), [in LXX: Num.10:32, Jdg.17:13 A, Zep.1:12 (יטב hi.), Tob.12:13 B, 1Ma.11:33, 2Ma.1:2 *;] to do good; (a) univ: 1Pe.2:15, 20, 3:6, 17, 3 Jo.11; (b) for another's benefit: Mrk.3:4 (T, ἀγαθὸν ποιῆσαι), Luk.6:9; (with) accusative of person(s), Luk.6:33, 35 (Cremer, 8). (AS)
G16	ἀγαθοποιΐα	agathopoiia	doing good	G:N-F	ἀγαθοποιία, -ας, ἡ (&lt; ἀγαθοποιός), well-doing: 1Pe.4:19. (AS)
G17	ἀγαθοποιός	agathopoios	doing good	G:N-M	-όν = cl. ἀγαθουργός, [in LXX, of a woman who deals pleasantly in order to corrupt, Sir.42:14 *;] doing well, acting rightly (Plut.): 1Pe.2:14 (Cremer, 8; MM, VGT, see word). (AS)
G18	ἀγαθός	agathos	good-doer	G:A	-ή, -όν, [in LXX chiefly for טוֹב;] in general, good, in physical and in moral sense, used of persons, things, acts, conditions, etc, applied to that which is regarded as "perfect in its kind, so as to produce pleasure and satisfaction. that which, in itself good, is also at once for the good and the advantage of him who comes in contact with it" (Cremer, 3): γῆ, Luk.8:8; δένδρον, Mat.7:18; καρδία, Luk.8:15; δόσις, Jas.1:17; μέρις, Luk.10:42; ἔργον (freq. in Pl.), Php.1:6; ἐλπίς, 2Th.2:16; θησαυρός, Mat.12:35; μνεία, 1Th.3:6 (cf. 2Ma.7:20); as subst, τὸ ἀ, that which is morally good, beneficial, acceptable to God, Rom.12:2; ἐργάζεσθαι τὸ ἀ, Rom.2:10, Eph.4:28; πράσσειν, Rom.9:11, 2Co.5:10; διώκειν, 1Th.5:15; μιμεῖσθαι, III Jo 11; κολλᾶσθαι τῷ ἀ, Rom.12:9; ερωτᾶν περὶ τοῦ ἀ, Mat.19:17; διάκονος εἰς τὸ ἀ, Rom.13:4; τὸ ἀ. σου, thy favour, benefit, Phm 14; pl, τὰ ἀ, of goods, possessions, Luk.12:18; of spiritual benefits, Rom.10:15, Heb.9:11, 10:1. ἀ is opp. to πονηρός, Mat.5:45, 20:5; κακός, Rom.7:19; φαῦλος, Rom.9:11, 2Co.5:10 (cf. MM, VGT, see word). (AS)
G19	ἀγαθωσύνη	agathōsunē	goodness	G:N-F	(on the termination, see: ἁγιότης, and cf. WH, App, 152; MM, VGT, see word), -ης, ἡ (&lt; ἀγαθός), [in LXX for טוֹבָה, טוֹב, טוּב, only in Heb. bks;] goodness (representing "the kindlier, as δικαιοσύνη, the sterner element in the ideal character," AE, Eph, 5:9; on its relation to χρηστότης, see Tr, Syn, §lxiii): Rom.15:14, Gal.5:22, 2Th.1:11. (AS)
G20	ἀγαλλίασις	agalliasis	joy	G:N-F	-εως, ἡ (&lt; ἀγαλλιάω), [in LXX (most freq. in Pss. and often coupled with εὐφροσύνη, as Ps 44(45):15) chiefly for גִּיל;] exultation, exuberant joy: Luk.1:44, Act.2:46, Heb.1:9, Ju 24; χαρὰ καὶ ἀ, Luk.1:14 (Cremer, 592). (AS)
G21	ἀγαλλιάω	agalliaō	to rejoice	G:V	-ῶ, Hellenistic form of cl. ἀγάλλω, to glorify, mid. -ομαι, to exult in; [in LXX (most freq. in Pss.) chiefly for גיל, רנן pi;] to exult, rejoice greatly: before ἐπί, with dative, Luk.1:47; with dative mod, 1Pe.1:8, Rev.19:7. Mid, with same sense: Mat.5:12, Luk.10:21, Act.2:26, 16:34, 1Pe.4:13; before ἵνα, Jhn.8:56; ἐν, Jhn.5:35 (1 aor. pass. perh. as mid; but see Mozley, Psalter, 5), 1Pe.1:6 (Cremer, 590). (AS)
G22	ἄγαμος	agamos	unmarried	G:N-B	ἄ-γαμος, -ον [in LXX: 4Ma.16:9 *;] unmarried: 1Co.7:8, 32; fem. (= cl. ἄνανδρος), ib. 11, 34. (AS)
G23	ἀγανακτέω	aganakteō	be indignant	G:V	-ῶ (&lt;ἄγαν, much, ἄχομαι, to grieve), [in LXX: Wis.5:22, 12:27, Da TH Bel 28, 4Ma.4:21 *;] to be indignant: Mat.21:15, 26:8, Mrk.10:14, 14:4; before περί, Mat.20:24, Mrk.10:41; before ὅτι, Luk.13:14 (see MM, VGT, see word). (AS)
G24	ἀγανάκτησις	aganaktēsis	indignation	G:N-F	-εως, ἡ (&lt; ἀγανακτέω), [in LXX: Est.18:3 א 1 *;] indignation: 2Co.7:11 (see MM, VGT, see word). (AS)
G25	ἀγαπάω	agapaō	to love	G:V	-ῶ, [in LXX chiefly for אהב;] to love, to feel and exhibit esteem and goodwill to a person, to prize and delight in a thing. 1) Of human affection, to men: τ. πλησίον, Mat.5:43; τ. ἐχθρούς, ib. 44; to Christ, Jhn.8:42; to God, Mat.22:37; with accusative of thing(s), Luk.11:43, Jhn.12:43, Eph.5:25, II Tim 4:8, 10, Heb.1:9, 1Pe.2:17, 3:10, 2Pe.2:15, 1Jn.2:15, Rev.12:11. 2) Of divine love; (a) God's love: to men, Rom.8:37; to Christ, Jhn.3:35; (b) Christ's love: to men, Mrk.10:21; to God, Jhn.14:31; with cogn. accusative, Jhn.17:26, Eph.2:4. (AS)
G26	ἀγάπη	agapē	love	G:N-F	-ης, ἡ [in LXX for אַהֲבָה, which is also rendered by ἀγάπησις and φιλία;] love, goodwill, esteem. Outside of bibl. and eccl. books, there is no clear instance (with Deiss, LAE, 18:4, 70:2, cf. the same writer in Constr. Quar, ii, 4; and with MM, VGT, see word, cf. Dr. Moulton in Exp. Times, xxvi, 3, 139). In NT, like ἀγαπάω, -ῶ, 1) Of men's love: (a) to one another, Jhn.13:35; (b) to God, 1Jn.2:5. 2) Of divine love; (a) God's love: to men, Rom.5:8; to Christ, Jhn.17:26; (b) Christ's love to men: Rom.8:35. 3) In pl, love feasts: Ju 12 (DB, iii, 157). (AS)
G27	ἀγαπητός	agapētos	beloved	G:A	-ή, -όν (&lt; ἀγαπάω), [in LXX chiefly for יָתִיד, יָדִיד;] beloved (see M, Pr, 221); (a) by God: of Christ, Mat.3:17; of men, Rom.1:7; (b) by Christians, of one another: 1Co.4:14; freq. as form of address, ib. 10:14; opp. to ἐχθρός, Rom.11:28 (see AR, Eph, 229; Cremer, 17; MM, VGT, see word). (AS)
G28	Ἄγαρ	Agar	Hagar	N:N-F-P	Ἅγαρ (Rec. Ἄ-), ἡ, indecl. (in FlJ, Ἀγάρα, -ης, Heb. הָגָר), Hagar (Gen.16): Gal.4:24,25. (AS)
G29	ἀγγαρεύω	aggareuō	to force	G:V	(from the Persian; cf. Vg. angiare, and the Heb. אִגֶרֶת; on the orthogr, see Bl, §6, 1; M, Pr, 46), to impress into public service, employ a courier; hence, to compel to perform a service (prob. common in the vernac; cf. Deiss, BS, 86f, MM, Exp, iv; VGT, see word): Mat.5:41, 27:32, Mrk.15:21. (AS)
G30	ἀγγεῖον	aggeion	jar	G:N-N	-ου, τό (&lt; ἄγγος), [in LXX chiefly for כְּלִי;] a vessel (see MM, VGT, see word): Mat.25:4. (AS)
G31	ἀγγελία	aggelia	message	G:N-F	-ας, ἡ (&lt; ἄγγελος), [in LXX chiefly for שְׁמוּעָה;] a message: 1Jo.1:5, 3:11 (Cremer, 18; MM, VGT, see word). (AS)
G32	ἄγγελος	aggelos	angel	G:N-M	-ου, ὁ, [in LXX chiefly for מַלְאָךְ;] 1) a messenger, one sent: Mat.11:10, Jas.22:25. 2) As in LXX, in the special sense of angel, a spiritual, heavenly being, attendant upon God and employed as his messenger to men, to make known his purposes, as Luk.1:11, or to execute them, as Mat.4:6. The ἄ. in Rev.1:20-2:1, al, is variously understood as (1) a messenger or delegate, (2) a bishop or ruler, (3) a guardian angel, (4) the prevailing spirit of each church, i.e. the Church itself. (Cf. Swete, Ap), in l; DB, iv, 991; Thayer, see word; Cremer, 18; MM, VGT, see word) (AS)
G33	ἄγε	age	to lead	G:V	prop. imperat. of ἄγω, come! used as adv. and addressed, like φέρε, to one or more persons: Jas.4:13, 5:1. (AS)
G34	ἀγέλη	agelē	herd	G:N-F	-ης, ἡ (&lt; ἄγω), [in LXX chiefly for עֵ֫דֶר;] a herd: Mat.8:30-32, Mrk.5:11, 13, Luk.8:32,33. (AS)
G35	ἀγενεαλόγητος	agenealogētos	without genealogy	G:A	-ον (&lt; γενεαλογέω), without genealogy, i.e. without recorded pedigree (cf. Neh.7:64): Heb.7:3 (Cremer, 152; MM, VGT, see word). (AS)
G36	ἀγενής	agenēs	lowly	G:A	-ές (&lt; γένος), 1) unborn (Plat.); 2) of no family, ignoble, base (opp. to ἀγαθός, Soph, Fr, 105): opp. to εὐγενής, 1Co.1:28 (for exx. from π, see MM, VGT, see word). (AS)
G37	ἁγιάζω	hagiazō	to sanctify	G:V	Hellenistic form of ἁγίζω (&lt; ἅγιος), to make holy, consecrate, sanctify; [in LXX chiefly for קדשׁ pi, hi;] 1) to dedicate, separate, set apart for God; of things: Mat.23:17,19, 2Ti.2:21; of persons: Christ, Jhn.10:36, 17:19. 2) to purify, make conformable in character to such dedication: forensically, to free from guilt, 1Co.6:11, Eph.5:26, Heb.2:11, 10:10, 14, 29, 13:12; internally, by actual sanctification of life, Jhn.17:17, 19, Act.20:32, 26:18, Rom.15:16, 1Co.1:2, 7:14, 1Th.5:23, Rev.22:11; of a nonbeliever influenced by marriage with a Christian, 1Co.7:14. 3) In the intermediate sense of ceremonial or levitical purification: (a) of things, 2Ti.2:21; (b) of persons, Heb.9:13. 4) to treat as holy: Mat.6:9, Luk.11:2, 1Pe.3:16 (Cremer, 53, 602; MM, VGT, see word). (AS)
G38	ἁγιασμός	hagiasmos	holiness	G:N-M	-οῦ, ὁ (&lt; ἁγιάζω), [in LXX: Eze.45:4 (מִקְדָּשׁ), Sir.7:31, etc;] as an active verbal noun in -μός, it signifies properly the process τὸ ἁγιάζειν, rather than the resultant state, ἁγιωσύνη, hence, 1) consecration; 2) sanctification: so strictly in Rom.6:19,22 (but see Meyer), 1Co.1:30, 1Th.4:3,7, 2Th.2:13, Heb.12:14, 1Pe.1:2. Elsewhere it perhaps (Ellic; but see Milligan, Th, 48) inclines to the resultant state: 1Th.4:4, 1Ti.2:15 (Cremer, 55, 602). (AS)
G39	ἅγιον	hagion	holy	G:A	ἅγιος, -α, ον (&lt; τό ἅγός, religious awe; ἅζω, to venerate), [in LXX chiefly for קֹ֫דֶשׁ;] primarily, dedicated to the gods, sacred (Hdt; rare in Att, never in Hom, Hes. and Trag, who use ἁγνός), hence, holy, characteristic of God, separated to God, worthy of veneration. 1) Its highest application is to God himself, in his purity, majesty, and glory: Luk.1:49, Jhn.17:11, Rev.4:8. Hence (a) of things and places which have a claim to reverence as sacred to God, e.g. the Temple: Mat.24:15, Heb.9:1; (b) of persons employed by him, as angels: 1Th.3:13; prophets, Luk.1:70; apostles, Eph.3:5. 2) Applied to persons as separated to God's service: (a) of Christ, Mrk.1:24, Jhn.6:69, Act.4:30; (b) of Christians, Act.9:13, Rom.1:7, Heb.6:10, Rev.5:8. 3) In the moral sense of sharing God's purity: Mrk.6:20, Jhn.17:11, Act.3:14, Rev.3:7. 4) Of pure, clean sacrifices and offerings: 1Co.7:14, Eph.1:4. (AS)
G40	ἅγιος	hagios	holy	G:A	-α, ον (&lt; τό ἅγός, religious awe; ἅζω, to venerate), [in LXX chiefly for קֹ֫דֶשׁ;] primarily, dedicated to the gods, sacred (Hdt; rare in Att, never in Hom, Hes. and Trag, who use ἁγνός), hence, holy, characteristic of God, separated to God, worthy of veneration. 1) Its highest application is to God himself, in his purity, majesty, and glory: Luk.1:49, Jhn.17:11, Rev.4:8. Hence (a) of things and places which have a claim to reverence as sacred to God, e.g. the Temple: Mat.24:15, Heb.9:1; (b) of persons employed by him, as angels: 1Th.3:13; prophets, Luk.1:70; apostles, Eph.3:5. 2) Applied to persons as separated to God's service: (a) of Christ, Mrk.1:24, Jhn.6:69, Act.4:30; (b) of Christians, Act.9:13, Rom.1:7, Heb.6:10, Rev.5:8. 3) In the moral sense of sharing God's purity: Mrk.6:20, Jhn.17:11, Act.3:14, Rev.3:7. 4) Of pure, clean sacrifices and offerings: 1Co.7:14, Eph.1:4. (AS)
G41	ἁγιότης	hagiotēs	holiness	G:N-F	-ητος, ἡ (&lt; ἅγιος), [in LXX: 2Ma.15:2 *;] sanctity, holiness, regarded, properly, as an abstract quality (see next word, and cf. Lft. Notes, 49; MM, VGT, see word): 2Co.1:12, Heb.12:10. (AS)
G42	ἁγιωσύνη	hagiōsunē	holiness	G:N-F	(cf. ἀγαθωσύνη), -ης, ἡ (&lt; ἅγιος), [in LXX: Psa.29 (30):4 96(97):12 (קֹדֶשׁ), 95(96):6 (עֹז), 144(145):5 (הוֹד), 2Ma.3:12 *;] holiness, the state in man resulting from ἁγιασμός, which see: Rom.1:4, 2Co.7:1, 1Th.3:13 (Cremer, 52; MM, VGT, see word). (AS)
G43	ἀγκάλη	agkalē	arm	G:N-F	ἀγκάλη,-ης, ἡ (&lt; ἄγκος, a bend), [in LXX for אַצִּיל, חֵיק;] the bent arm: Luk.2:28 (cf. ἐναγκαλίζομαι). (AS)
G44	ἄγκιστρον	agkistron	fishhook	G:N-N	-ου, τό (&lt; ἄγκος, a bend), [in LXX חַכָּה, etc;] a fish-hook: Mat.17:27. (AS)
G45	ἄγκυρα	agkura	anchor	G:N-F	-ας, ἡ (&lt; ἄγκος, a bend), [in Sm: Jer.52:18 *;] an anchor: Act.27:29, 30 40; figuratively (MM, VGT, see word), Heb.6:19. (AS)
G46	ἄγναφος	agnaphos	unshrunk	G:A	-ον (= ἄγναπτος, &lt; γνάπτω, late form of κνάπτω, to card wool), uncarded, undressed, i.e. new (MM, VGT, see word): Mat.92:6, Mrk.2:21. (AS)
G47	ἁγνεία	hagneia	purity	G:N-F	(WH, ἁγνία), [in LXX for טָהֳרָה, נָזִיר, נֶזֶר, etc;] purity: 1Ti.4:12, 5:2 (Cremer, 58. For exx. of ceremonial use in π, see MM, Exp, iv). (AS)
G48	ἁγνίζω	hagnizō	to purify	G:V	(&gt; ἁγνός), [in LXX always ceremonially, chiefly for קָדַשׁ;] to purify, cleanse from defilement; (a) ceremonially: Jhn.11:55, Act.21:24, 26 24:18; (b) morally: Jas.4:8, 1Pe.1:22, 1Jn.3:3. (AS)
G49	ἁγνισμός	hagnismos	purification	G:N-M	-οῦ, ὁ (&gt; ἁγνίζω), [in LXX: Num.6:5 (נֵזֶר) 8:7 19:17 (חַטָּאָה), etc;] purification: in ceremonial sense, Act.21:26 (LXX). (AS)
G50	ἀγνοέω	agnoeō	be ignorant	G:V	-ῶ (&gt; ἁγνίζω), [in LXX for שָׁגָה, שָׁגַג, אָשַׁם, etc;] 1) to be ignorant, not to know: absol, Ι Ti 1:13, Heb.5:2; with accusative, Act.13:27 17:23, Rom.10:3, 2Co.2:11; ἐν οἷς, 2Pe.2:12; before ὅτι, Rom.2:4 6:3 7:1, 1Co.14:38; οὐ θέλω ὑμᾶς ἀγνοεῖν, a Pauline phrase: with accusative, Rom.11:25; before ὑπέρ, 2Co.1:8; περί, 1Co.12:1, 1Th.4:13. ὅτι, Rom.1:13, 1Co.10:1 (for similar usage in π, V. MM, VGT, see word). Pass: 1Co.14:38, 2Co.6:9, Gal.1:22. 2) not to understand: with accusative, Mrk.9:32, Luk.9:45. (AS)
G51	ἀγνόημα	agnoēma	error	G:N-N	-τός, τό (&lt; ἀγνοέω), [in LXX: Gen.43:12 (מִשְׁגֶּה), Tob.3:3, Jdth.5:20, Sir.23:2 51:19, 1Ma.13:39 *;] a sin of ignorance (so in π; see MM, VGT, see word): Heb.9:7. (AS)
G52	ἄγνοια	agnoia	ignorance	G:N-F	-ας, ἡ (&lt; ἀγνοέω), [in LXX chiefly for אָשָׁם, שְׁגָגָה;] ignorance: Act.3:17 17:30, Eph.4:18 (with sense of wilful blindness; cf. MM, VGT, see word), 1Pe.1:14. (AS)
