Strongs numbers in lexicon, but not in tagged texts, SEEMS LIKE TOO MANY!
===

G33	ἄγε	to lead	
G6296	ἀνανεύω	to disagree	
G6297	ἀναντλέω	be fatigued	
G6298	ἀναξηραίνω	to dry up	
G6299	ἀνάπαυμα	rest	
G6300	ἀναπετάω	be effronted	
G6301	ἀναπλήρωσις	satisfying	
G6302	ἀναπνέω	to breathe	
G6303	ἀναπνοή	breathing	
G6304	ἐναποθνῄσκω	to die in	
G6305	ἀναποιέω	to prepare	
G6306	ἀναπόστρεπτος	not be turned away	
G6307	ἀναπτερόω	to incite	
G6308	ἀναρπάζω	to kidnap	
G6309	ἀναρρήγνυμι	to tear asunder	
G6310	ἀνασκάπτω	to dig up	
G6311	ἀναστέλλω	to rise upwards	
G6312	ἀνάστημα	a height	
G6313	ἀνασχίζω	to rip open	
G6314	ἀνασῴζω	to escape	
G6315	ἀνατιναγμός	violent shaking	
G6316	ἀνατροπή	a diet	
G6317	ἀναφάλαντος	forehead bald	
G6318	ἀναφαλάντωμα	forehead bald	
G6319	ἀναφορά	an offering	
G6320	ἀναφορεύς	a bearing pole	
G6321	ἀναφράσσω	to block up	
G6322	ἀναφυράω	to mix up	
G6323	ἀναφύω	to grow up	
G6324	ἀναψυχή	respite	
G6325	ἀνδραγαθία	valor	
G6326	ἀνδρεία	courage	
G6327	ἀνδρεῖος	vigorous	
G6328	ἀνδρόγυνος	effeminate	
G6329	ἀνδρόω	to become a man	
G6330	ἀνειλέω	to unroll	
G6331	ἀνελεημόνως	mercilessly	
G6332	ἀνέλπιστος	unhoped for	
G6333	ἀνεμοφθορία	wind-blown	
G6334	ἀνεμόφθορος	destroyed by wind	
G6335	ἀνεξέλεγκτος	unascertained	
G6336	ἀνήκοος	unhearing	
G6337	ἀνήλατος	not malleable	
G6338	ἀνθ᾽ οὗ	because of	
G6339	ἀνθ᾽ ὧν	because of	
G6340	ἀνθέμιον	a flower ornament	
G6341	ἀνθέω	to bloom	
G6342	ἄνθινος	a flowered work	
G6343	ἀνθομολόγησις	confession	
G6344	ἀνθυφαιρέω	to deduct	
G6345	ἀνίατος	incurable	
G6346	ἀνίπταμαι	to fly about	
G6347	ἄνισχυς	without strength	
G6348	ἄνοιγμα	a passage	
G6349	ἀνομέω	to act lawlessly	
G6350	ἀνόμημα	a violation of law	
G6351	ἀνορύσσω	to root up	
G6352	ἄνους	mindless	
G6353	ἀνταίρω	to rise against	
G6354	ἀντακούω	to listen in turn	
G6355	ἀνταλλάσσω	to bargain	
G6356	ἀντάμειψις	remuneration	
G6357	ἀνταναιρέω	to take away in return	
G6358	ἀνταποθνήσκω	to die for	
G6359	ἀνταπόκρισις	an answer	
G6360	ἀντίγραφος	a copy	
G6361	ἀντιδίδωμι	to repay	
G6362	ἀντιδικέω	to plead	
G6363	ἀντίζηλος	a rival	
G6364	ἀντίθετος	contrary	
G6365	ἀντικαθίζομαι	to relocate	
G6366	ἀντικρίνω	to adjudicate	
G6367	ἀντιλήπτωρ	a shielder	
G6368	ἀντίον	a beam of a loom	
G6369	ἀντιποιέω	to act against	
G6370	ἀντιπολεμέω	to battle	
G6371	ἀντιπρόσωπος	facing	
G6372	ἀντίρρησις	a contradiction	
G6373	ἀντιστήριγμα	a support	
G6374	ἀντιστηρίζω	to support	
G6375	ἀντιτίθημι	to substitute	
G6376	ἄντρον	an inner room	
G6377	ἀνυπόδετος	barefoot	
G6378	ἀνυπομόνητος	unsufferable	
G6379	ἀνυπόστατος	unsubdued	
G6380	ἀνυψόω	to elevate	
G6381	ἀξιόπιστος	worthy of trust	
G6382	ἀξίωμα	a petition	
G6383	ἄξων	an axle	
G6384	ἀοίκητος	uninhabited	
G6385	ἀορασία	inability to see	
G6386	ἀπαγγελία	a report	
G6387	ἀπαγωγή	enslavement	
G6388	ἀπαιδευσία	stupidity	
G6389	ἀπαίτησις	exaction	
G6390	ἀπαλείφω	to wipe away	
G6391	ἀπαλλοτρίωσις	alienation	
G6392	ἁπαλότης	tenderness	
G6393	ἁπαλύνω	to make tender	
G6394	ἀπαμαυρόω	to blur	
G6395	ἀπαναίνομαι	to refuse	
G6396	ἀπαναισχυντέω	to cast shame	
G6397	ἀπαναλίσκω	to consume	
G6398	ἀπαντή	meet	
G6399	ἀπάντημα	a meeting	
G6400	ἀπάνωθεν	from on top	
G6401	ἀπαράλλακτος	unalterable	
G6402	ἄπαρσις	a departure	
G6403	ἀπαρτία	chattel	
G6404	ἀπάρχομαι	to dedicate	
G6405	ἀπέκτασις	spreading out	
G6406	ἀπελέκητος	unhewn	
G6407	ἀπελευθερόω	to set free	
G6408	ἀπενεόομαι	to silence	
G6409	ἀπερείδω	to fasten	
G6410	ἀπερικάθαρτος	impure	
G6411	ἀπηλιώτης	east wind	
G6412	ἄπιος	pear tree	
G6413	ἄπλαστος	simple	
G6414	ἄπληστος	insatiable	
G6415	ἁπλοσύνη	singleness	
G6416	ἁπλόω	to simplify	
G6417	ἀποβιάζομαι	to repel	
G6418	ἀπογαλακτίζω	to wean	
G6419	ἀπόγονος	a descendant	
G6420	ἀποδεσμεύω	to bind up	
G6421	ἀπόδεσμος	a bundle	
G6422	ἀποδέω	to tie up	
G6423	ἀποδιαιρέω	to divide up	
G6424	ἀποδιδράσκω	to run away	
G6425	ἀποδιώκω	to banish	
G6426	ἀπόδομα	a gift	
G6427	ἀπόδοσις	restitution	
G6428	ἀποθερίζω	to mow	
G6429	ἀποικεσία	resettlement	
G6430	ἀποικία	resettlement	
G6432	ἀποικισμός	a settlement	
G6433	ἀποίχομαι	to move	
G6434	ἀποκαθαίρω	to clear away	
G6435	ἀποκαθαρίζω	to cleanse	
G6436	ἀποκάθημαι	to sit apart	
G6437	ἀποκακέω	to suffer	
G6438	ἀποκαλέω	to invoke	
G6439	ἀποκεντέω	to pierce	
G6440	ἀποκέντησις	a piercing	
G6441	ἀποκιδαρόω	be without a turban	
G6442	ἀποικίζω	to exile	
G6443	ἀποκλαίω	to weep	
G6444	ἀπόκλεισμα	a prison	
G6445	ἀποκλίνω	to turn off	
G6446	ἀποκλύζω	to rinse off	
G6447	ἀποκνίζω	to pluck off	
G6448	ἀποκομίζω	to transmit	
G6449	ἀποκρυβή	concealment	
G6450	ἀποκρυφή	concealment	
G6451	ἀποκωλύω	to detain	
G6452	ἀποκωφόομαι	be mute	
G6453	ἀπολακτίζω	to kick up	
G6454	ἀπολαύω	to enjoy	
G6455	ἀπολέγω	to resign	
G6456	ἀπολιθόω	to petrify	
G6457	ἀπολόγημα	a plea	
G6458	ἀπόλοιπος	left over	
G6459	ἀπολυτρόω	to redeem	
G6460	ἀπομέμφομαι	to blame	
G6461	ἀποξενόω	be estranged	
G6462	ἀποξηραίνω	to cause to dry up	
G6463	ἀποξύω	to scrape off	
G6464	ἀποπειράομαι	to put to the test	
G6465	ἀποπεμπτόω	to take a fifth part	
G6466	ἀποπηδάω	to leap back	
G6467	αποπιάζω	to squeeze out	
G6468	ἀποπλάνησις	digression	
G6469	ἀποποιέω	to undo	
G6470	ἀποπομπαῖος	a scapegoat	
G6471	ἀποπομπή	acting as scapegoat	
G6472	ἀπορρέω	to drop down	
G6473	απορρήσω	to rip off	
G6474	ἀποσάττω	to unharness	
G6475	ἀποσβέννυμι	to consume	
G6476	ἀποσείω	to shake off	
G6477	ἀποσιωπάω	to keep silent	
G6478	ἀποσκευή	accoutrements	
G6479	ἀποσκηνόω	to move a tent	
G6480	ἀποσκληρύνω	to harden against	
G6481	ἀποσκοπεύω	to watch over	
G6482	ἀποσκορακίζω	to send far away	
G6483	ἀποσκορακισμός	dismissal	
G6484	ἀποσοβέω	to frighten away	
G6485	ἀπόσπασμα	a broken branch	
G6486	ἀποστάζω	to drop from	
G6487	ἀποσταλάζω	to trickle down	
G6488	ἀπόστασις	defection	
G6489	ἀποστατέω	to defect	
G6490	ἀποστάτης	a defector	
G6491	ἀποστάτις	a defecting	
G6492	ἀποστέργω	to disregard	
G6493	ἀποστροφή	rejection	
G6494	ἀποσυνάγω	to cure	
G6495	ἀποσυρίζω	to whistle	
G6496	ἀποσφραγίζω	to seal up	
G6497	ἀποσφράγισμα	a seal	
G6498	ἀποσχίζω	to sever	
G6499	ἀποτείνω	to extend	
G6500	ἀποτέμνω	to shred	
G6501	ἀποτηγανίζω	to fry	
G6502	αποτιννύω	to pay for	
G6503	ἀποτρέχω	to run from	
G6504	ἀποτροπιάζω	to pacify	
G6505	ἀποτρυγάω	to harvest	
G6506	ἀποτυγχάνω	to miss	
G6507	ἀποτύφλωσις	blindness	
G6508	ἀποφαίνω	to sentence	
G6509	ἀπόφθεγμα	a maxim	
G6510	ἀποφορά	impost	
G6511	ἀποφράσσω	to shut out	
G6512	ἀποφυσάω	to blow away	
G6513	ἀποχέω	to pour out	
G6514	ἀποχώρησις	voidance	
G6515	ἄπυρος	unfired	
G6516	απφουσώθ	for the sick	
G6517	σαφφώθ	silver things	
G6518	ἀπῶρυξ	a layer of vine	
G6519	ἄπωσις	repulsion	
G6521	Ἀραβώθ	wilderness	
G6522	ἀράομαι	to curse	
G6523	ἀράχνη	of a spider	
G6524	ἀργία	idleness	
G6525	ἀργυροκοπέω	to work silver	
G6526	ἀργυρώνητος	bought with silver	
G6527	ἄρδην	entirely	
G6528	ἄρθρον	articulation	
G6529	αριήλ	altar hearth	
G6530	αριήλ	a lion-like person	
G6531	ἀριθμητός	counted	
G6532	ἀριώθ	herbs	
G6533	ἀρκεύθινος	of juniper	
G6534	ἄρκευθος	juniper	
G6535	ἁρμονία	a joint	
G6536	ἀροτήρ	a plowman	
G6537	ἀροτρίασις	plowing	
G6538	ἀροτρόπους	a plowshare	
G6539	ἄρουρα	plowed fields	
G6540	ἅρπαγμα	a prey	
G6541	ἄρριζος	rootless	
G6542	ἀρρωστέω	be ill	
G6543	ἀρρωστία	illness	
G6544	ἀρσενικός	a male	
G6545	ἄρσις	a load	
G6546	ἀρτάβη	a measure	
G6547	ἀρτήρ	a shoulder	
G6548	ἀρτίως	just now	
G6549	ἀρτοκοπικός	of a baker	
G6550	ἀρχιδεσμοφύλαξ	chief jailer	
G6551	ἀρχιδεσμώτης	chief jailer	
G6552	ἀρχιεταῖρος	chief friend	
G6553	ἀρχιευνοῦχος	chief eunuch	
G6554	ἀρχιμάγειρος	chief guard	
G6555	ἀρχιοινοχοΐα	chief wine taster	
G6556	ἀρχιοινοχόος	chief wine taster	
G6557	ἀρχιπατριώτης	chief patriarch	
G6558	ἀρχισιτοποιός	chief baker	
G6559	ἀρχιστράτηγος	commander-in-chief	
G6560	ἀρχισωματοφύλαξ	chief guard	
G6561	ἀρχιτεκτονέω	construction chief	
G6562	ἀρχιτεκτονία	construction	
G6563	ἀρχίφυλος	chief of a tribe	
G6564	ἀρχός	chief	
G6565	ασαφίμ	collection	
G6566	ἀσβόλη	lamp black	
G6567	ἀσέβημα	an act of impiety	
G6568	ἄσηπτος	incorruptible	
G6569	ἀσίδα	a stork	
G6570	ἀσιτέω	to abstain	
G6571	ᾆσμα	a song	
G6572	ἀσπάλαξ	a mole	
G6573	ἀσπιδίσκη	a bezel	
G6574	ἄστεγος	homeless	
G6575	ἀστράγαλος	a vertebrae	
G6576	ἀστρολόγος	astrologer	
G6577	ἄσυλος	against reprisal	
G6578	ἀσύμφορος	hurtful	
G6579	ἀσυνετέω	to lack sense	
G6580	ἀσυνθεσία	breach-of-contract	
G6581	ἀσυνθετέω	to break a contract	
G6582	ἀσφαλτόπισσα	tar	
G6583	ἄσφαλτος	tar	
G6584	ἀσφαλτόω	to apply tar	
G6585	ἄσωτος	carnal	
G6586	ἀτάρ	nevertheless	
G6587	ἀτείχιστος	unwalled	
G6588	ἀτεκνία	childlessness	
G6589	ἀτεκνόω	be barren	
G6590	ἀτιμώρητος	unpunished	
G6591	ἄτρακτος	a spindle	
G6592	ἀτραπός	a short cut	
G6593	ἄτρυγος	pure	
G6594	ἀττάκης	a hopping locust	
G6595	ἀττέλαβος	a small locust	
G6596	ἀτυχέω	be unfortunate	
G6597	αὔγασμα	a shining	
G6598	αὐγέω	to shine	
G6599	αὐθαδίᾳ	self-sufficiency	
G6600	αὐθημερινός	daily	
G6601	αὐθήμερος	daily	
G6602	αὐλαία	a curtain	
G6603	αὖλαξ	a furrow	
G6604	αὐλάρχης	chief of the palace	
G6605	αὐλών	a canyon	
G6606	αὔρα	a breeze	
G6607	αὐταρκέω	to suffice	
G6608	αὐτόθι	at that time	
G6609	αὐτομολέω	to desert	
G6611	αὐτόχθων	native-born	
G6612	αὐχήν	nape	
G6613	αὐχμός	squalid	
G6614	αὐχμώδης	austere	
G6615	ἀφαγνίζω	to purify	
G6616	ἀφαίρεμα	choice portion	
G6617	ἀφάλλομαι	to hop	
G6618	ἀφάπτω	to affix	
G6619	ἄφεδρος	menstruation	
G6620	ἀφειδῶς	unsparingly	
G6621	ἀφελῶς	merely	
G6622	ἀφηγέομαι	to guide	
G6623	ἄφθορος	uncorrupted	
G6624	ἀφοβία	fearlessness	
G6625	ἄφοβος	without fear	
G6626	ἀφορία	non-productivity	
G6627	ἀφόρισμα	separation	
G6628	ἀφορισμός	an offering	
G6629	ἀφρονέω	be unwise	
G6630	ἀφρόνως	unwisely	
G6631	ἀφυλάκτως	unguardedly	
G6632	ἀφυστερέω	to withhold	
G6633	αφφουσώθ	apart	
G6634	ἀφφώ	now	
G6635	ἀχάτης	agate	
G6636	ἄχει	reed-grass	
G6637	αχούχ	a thorn-bush	
G6638	ἀωρία	midnight	
G6639	ἄωρος	unseasonable	
