Variant manuscript abbreviations in tagged texts, but undefined
===


FIX_REF	Greek	ref='41_Mat.012.029'	word='διαρπάσει'	morph='V-FAI-3S'	strongs='G1283'	variants='x=διαρπάσῃ=G1283=V-AAS-3S;'	vpart='x=διαρπάσῃ=G1283=V-AAS-3S'	missing code='x'
FIX_REF	Greek	ref='45_Act.002.011'	word='τε'	morph='CONJ'	strongs='G5037'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.002.011'	word='καὶ'	morph='CONJ'	strongs='G2532'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.002.011'	word='προσήλυτοι'	morph='N-NPM'	strongs='G4339'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.003.020'	word='ὅπως'	morph='CONJ'	strongs='G3704'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.003.020'	word='ἂν'	morph='PRT'	strongs='G302'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.003.020'	word='ἔλθωσιν'	morph='V-2AAS-3P'	strongs='G2064'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.003.020'	word='καιροὶ'	morph='N-NPM'	strongs='G2540'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.003.020'	word='ἀναψύξεως'	morph='N-GSF'	strongs='G403'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.003.020'	word='ἀπὸ'	morph='PREP'	strongs='G575'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.003.020'	word='προσώπου'	morph='N-GSN'	strongs='G4383'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.003.020'	word='τοῦ'	morph='T-GSM'	strongs='G3588'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.003.020'	word='κυρίου'	morph='N-GSM'	strongs='G2962'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.004.005'	word='Ἰερουσαλήμ'	morph='N-DSF-L'	strongs='G2419'	variants='r=>; H=Ἱερουσαλὴμ=G2419=N-DSF-L;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.005.039'	word='ἐπείσθησαν'	morph='V-API-3P'	strongs='G3982'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.005.039'	word='δὲ'	morph='CONJ'	strongs='G1161'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.005.039'	word='αὐτῷ'	morph='P-DSM'	strongs='G846'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.009.028'	word='καὶ'	morph='CONJ'	strongs='G2532'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.009.028'	word='παρρησιαζόμενος'	morph='V-PNP-NSM'	strongs='G3955'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.009.028'	word='ἐν'	morph='PREP'	strongs='G1722'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.009.028'	word='τῷ'	morph='T-DSN'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.009.028'	word='ὀνόματι'	morph='N-DSN'	strongs='G3686'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.009.028'	word='τοῦ'	morph='T-GSM'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.009.028'	word='κυρίου'	morph='N-GSM'	strongs='G2962'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.009.028'	word='Ἰησοῦ'	morph='N-GSM-P'	strongs='G2424'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.013.038'	word='καὶ'	morph='CONJ'	strongs='G2532'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.013.038'	word='ἀπὸ'	morph='PREP'	strongs='G575'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.013.038'	word='πάντων'	morph='A-GPN'	strongs='G3956'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.013.038'	word='ὧν'	morph='R-GPN'	strongs='G3739'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.013.038'	word='οὐκ'	morph='PRT-N'	strongs='G3756'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.013.038'	word='ἠδυνήθητε'	morph='V-AOI-2P'	strongs='G1410'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.013.038'	word='ἐν'	morph='PREP'	strongs='G1722'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.013.038'	word='τῷ'	morph='T-DSM'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.013.038'	word='νόμῳ'	morph='N-DSM'	strongs='G3551'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.013.038'	word='Μωϋσέως'	morph='N-GSM-P'	strongs='G3475'	variants='r=>; W=Μωυσέως=G3475=N-GSM-P;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.013.038'	word='δικαιωθῆναι'	morph='V-APN'	strongs='G1344'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.019.040'	word='καὶ'	morph='CONJ'	strongs='G2532'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.019.040'	word='ταῦτα'	morph='D-APN'	strongs='G3778'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.019.040'	word='εἰπὼν'	morph='V-2AAP-NSM'	strongs='G2036'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.019.040'	word='ἀπέλυσεν'	morph='V-AAI-3S'	strongs='G630'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.019.040'	word='τὴν'	morph='T-ASF'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.019.040'	word='ἐκκλησίαν'	morph='N-ASF'	strongs='G1577'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.024.019'	word='τινὲς'	morph='X-NPM'	strongs='G5100'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.024.019'	word='δὲ'	morph='CONJ'	strongs='G1161'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.024.019'	word='ἀπὸ'	morph='PREP'	strongs='G575'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.024.019'	word='τῆς'	morph='T-GSF'	strongs='G3588'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.024.019'	word='Ἀσίας'	morph='N-GSF-L'	strongs='G773'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='45_Act.024.019'	word='Ἰουδαῖοι'	morph='A-NPM-PG'	strongs='G2453'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='46_Rom.007.010'	word='ἐγὼ'	morph='P-1NS'	strongs='G1473'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='46_Rom.007.010'	word='δὲ'	morph='CONJ'	strongs='G1161'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='46_Rom.007.010'	word='ἀπέθανον'	morph='V-2AAI-1S'	strongs='G599'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='46_Rom.009.012'	word='οὐκ'	morph='PRT-N'	strongs='G3756'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='46_Rom.009.012'	word='ἐξ'	morph='PREP'	strongs='G1537'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='46_Rom.009.012'	word='ἔργων'	morph='N-GPN'	strongs='G2041'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='46_Rom.009.012'	word='ἀλλ᾽'	morph='CONJ'	strongs='G235'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='46_Rom.009.012'	word='ἐκ'	morph='PREP'	strongs='G1537'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='46_Rom.009.012'	word='τοῦ'	morph='T-GSM'	strongs='G3588'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='46_Rom.009.012'	word='καλοῦντος'	morph='V-PAP-GSM'	strongs='G2564'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='46_Rom.016.007'	word='Ἰουνίαν'	morph='N-ASF-P'	strongs='G2458'	variants='x=Ἰουνιᾶν=G2458=N-ASM-P;'	vpart='x=Ἰουνιᾶν=G2458=N-ASM-P'	missing code='x'
FIX_REF	Greek	ref='48_2Co.001.007'	word='καὶ'	morph='CONJ'	strongs='G2532'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='48_2Co.001.007'	word='ἡ'	morph='T-NSF'	strongs='G3588'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='48_2Co.001.007'	word='ἐλπὶς'	morph='N-NSF'	strongs='G1680'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='48_2Co.001.007'	word='ἡμῶν'	morph='P-1GP'	strongs='G1473'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='48_2Co.001.007'	word='βεβαία'	morph='A-NSF'	strongs='G949'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='48_2Co.001.007'	word='ὑπὲρ'	morph='PREP'	strongs='G5228'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='48_2Co.001.007'	word='ὑμῶν'	morph='P-2GP'	strongs='G4771'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='48_2Co.008.014'	word='ἐν'	morph='PREP'	strongs='G1722'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.008.014'	word='τῷ'	morph='T-DSM'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.008.014'	word='νῦν'	morph='ADV'	strongs='G3568'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.008.014'	word='καιρῷ'	morph='N-DSM'	strongs='G2540'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.008.014'	word='τὸ'	morph='T-NSN'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.008.014'	word='ὑμῶν'	morph='P-2GP'	strongs='G4771'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.008.014'	word='περίσσευμα'	morph='N-NSN'	strongs='G4051'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.008.014'	word='εἰς'	morph='PREP'	strongs='G1519'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.008.014'	word='τὸ'	morph='T-ASN'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.008.014'	word='ἐκείνων'	morph='D-GPM'	strongs='G1565'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.008.014'	word='ὑστέρημα'	morph='N-ASN'	strongs='G5303'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.010.004'	word='λογισμοὺς'	morph='N-APM'	strongs='G3053'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.010.004'	word='καθαιροῦντες'	morph='V-PAP-NPM'	strongs='G2507'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.013'	word='ἀσπάζονται'	morph='V-PNI-3P'	strongs='G782'	variants='r=>; IMNW=Ἀσπάζονται=G782=V-PNI-3P;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.013'	word='ὑμᾶς'	morph='P-2AP'	strongs='G4771'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.013'	word='οἱ'	morph='T-NPM'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.013'	word='ἅγιοι'	morph='A-NPM'	strongs='G40'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.013'	word='πάντες'	morph='A-NPM'	strongs='G3956'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='ἡ'	morph='T-NSF'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='χάρις'	morph='N-NSF'	strongs='G5485'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='τοῦ'	morph='T-GSM'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='κυρίου'	morph='N-GSM'	strongs='G2962'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='Ἰησοῦ'	morph='N-GSM-P'	strongs='G2424'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='Χριστοῦ'	morph='N-GSM-T'	strongs='G5547'	variants='r=>; H=χριστοῦ=G5547=N-GSM-T;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='καὶ'	morph='CONJ'	strongs='G2532'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='ἡ'	morph='T-NSF'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='ἀγάπη'	morph='N-NSF'	strongs='G26'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='τοῦ'	morph='T-GSM'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='θεοῦ'	morph='N-GSM'	strongs='G2316'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='καὶ'	morph='CONJ'	strongs='G2532'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='ἡ'	morph='T-NSF'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='κοινωνία'	morph='N-NSF'	strongs='G2842'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='τοῦ'	morph='T-GSN'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='ἁγίου'	morph='A-GSN'	strongs='G40'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='πνεύματος'	morph='N-GSN'	strongs='G4151'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='μετὰ'	morph='PREP'	strongs='G3326'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='πάντων'	morph='A-GPM'	strongs='G3956'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='48_2Co.013.014'	word='ὑμῶν'	morph='P-2GP'	strongs='G4771'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='49_Gal.002.019'	word='Χριστῷ'	morph='N-DSM-T'	strongs='G5547'	variants='r=>; H=χριστῷ=G5547=N-DSM-T;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='49_Gal.002.019'	word='συνεσταύρωμαι'	morph='V-RPI-1S'	strongs='G4957'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.001.010'	word='ἐν'	morph='PREP'	strongs='G1722'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.001.010'	word='αὐτῷ'	morph='P-DSM'	strongs='G846'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.002.014'	word='τὴν'	morph='T-ASF'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.002.014'	word='ἔχθραν'	morph='N-ASF'	strongs='G2189'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.002.014'	word='ἐν'	morph='PREP'	strongs='G1722'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.002.014'	word='τῇ'	morph='T-DSF'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.002.014'	word='σαρκὶ'	morph='N-DSF'	strongs='G4561'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.002.014'	word='αὐτοῦ'	morph='P-GSM'	strongs='G846'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.005.014'	word='πᾶν'	morph='A-NSN'	strongs='G3956'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.005.014'	word='γὰρ'	morph='CONJ'	strongs='G1063'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.005.014'	word='τὸ'	morph='T-NSN'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.005.014'	word='φανερούμενον'	morph='V-PPP-NSN'	strongs='G5319'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.005.014'	word='φῶς'	morph='N-NSN'	strongs='G5457'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='50_Eph.005.014'	word='ἐστιν'	morph='V-PAI-3S'	strongs='G1510'	variants='r=>; HW=ἐστίν=G1510=V-PAI-3S;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='51_Php.002.007'	word='καὶ'	morph='CONJ'	strongs='G2532'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='51_Php.002.007'	word='σχήματι'	morph='N-DSN'	strongs='G4976'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='51_Php.002.007'	word='εὑρεθεὶς'	morph='V-2APP-NSM'	strongs='G2147'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='51_Php.002.007'	word='ὡς'	morph='CONJ'	strongs='G5613'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='52_Col.001.022'	word='νυνὶ'	morph='ADV'	strongs='G3570'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='52_Col.001.022'	word='δὲ'	morph='CONJ'	strongs='G1161'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='53_1Th.001.002'	word='ἀδιαλείπτως'	morph='ADV'	strongs='G89'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='53_1Th.002.007'	word='δυνάμενοι'	morph='V-PNP-NPM'	strongs='G1410'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='53_1Th.002.007'	word='ἐν'	morph='PREP'	strongs='G1722'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='53_1Th.002.007'	word='βάρει'	morph='N-DSN'	strongs='G922'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='53_1Th.002.007'	word='εἶναι'	morph='V-PAN'	strongs='G1510'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='53_1Th.002.007'	word='ὡς'	morph='CONJ'	strongs='G5613'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='53_1Th.002.007'	word='Χριστοῦ'	morph='N-GSM-T'	strongs='G5547'	variants='r=<; H=χριστοῦ=G5547=N-GSM-T;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='53_1Th.002.007'	word='ἀπόστολοι'	morph='N-NPM'	strongs='G652'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='53_1Th.002.012'	word='παρακαλοῦντες'	morph='V-PAP-NPM'	strongs='G3870'	variants='r=<;'	vpart='r=<'	missing code='r'
