# File Name: Hebrew_Lexicon_Strongs.txt
# File Size: 1452460     
# File Date: 02/20/2021 19:25:59
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Hebrew
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS
#		Strong's number
#	WORD
#		Hebrew word
#	TRANS
#		Transliterated word
#	PRONOUNCE
#		Pronunciation
#	LANG
#		Language
#	MORPH
#		Part of speech
#	DEF
#		Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
H11	אֲבַדּוֹן	ʼăbaddôwn	ab-ad-done'	heb	Proper Name Location	intensive from אָבַד; abstract, a perishing; concrete, Hades; destruction.
H12	אַבְדָן	ʼabdân	ab-dawn'	heb	Noun Masculine	from אָבַד; a perishing; destruction.
H13	אׇבְדַן	ʼobdan	ob-dawn'	heb	Noun Masculine	from אָבַד; a perishing; destruction.
H14	אָבָה	ʼâbâh	aw-baw'	heb	Verb	a primitive root; to breathe after, i.e. (figuratively) to be acquiescent; consent, rest content will, be willing.
H15	אָבֶה	ʼâbeh	aw-beh'	heb	Noun Feminine	from אָבָה; longing; desire.
H16	אֵבֶה	ʼêbeh	ay-beh'	heb	Noun Masculine	from אָבָה (in the sense of bending toward); the papyrus; swift.
H17	אֲבוֹי	ʼăbôwy	ab-o'ee	heb	Interjection	from אָבָה (in the sense of desiring); want; sorrow.
H18	אֵבוּס	ʼêbûwç	ay-booce'	heb	Noun Masculine	from אָבַס; a manger or stall; crib.
H19	אִבְחָה	ʼibchâh	ib-khaw'	heb	Noun Feminine	from an unused root (apparently meaning to turn); brandishing of a sword; point.
H20	אֲבַטִּיחַ	ʼăbaṭṭîyach	ab-at-tee'-akh	heb	Noun Masculine	of uncertain derivation; a melon (only plural); melon.
H21	אֲבִי	ʼĂbîy	ab-ee'	x-pn	Proper Name Feminine	from אָב; fatherly; Abi, Hezekiah's mother; Abi.
H22	אֲבִיאֵל	ʼĂbîyʼêl	ab-ee-ale'	x-pn	Proper Name Masculine	from אָב and אֵל; father (i.e. possessor) of God; Abiel, the name of two Israelites; Abiel.
H23	אֲבִיאָסָף	ʼĂbîyʼâçâph	ab-ee-aw-sawf'	x-pn	Proper Name Masculine	from אָב and אָסַף; father of gathering (i.e. gatherer); Abiasaph, an Israelite; Abiasaph.
H24	אָבִיב	ʼâbîyb	aw-beeb'	heb	Noun Masculine	from an unused root (meaning to be tender); green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan; Abib, ear, green ears of corn (not maize).
H25	אֲבִי גִבְעוֹן	ʼĂbîy Gibʻôwn	ab-ee' ghib-one'	x-pn	Proper Name Masculine	from אָב and גִּבְעוֹן; father (i.e. founder) of Gibon; Abi-Gibon, perhaps an Israelite; father of Gibeon.
H26	אֲבִיגַיִל	ʼĂbîygayil	ab-ee-gah'-yil	x-pn	Proper Name Feminine	or shorter אֲבִיגַל; from אָב and גִּיל; father (i.e. source) of joy; Abigail or Abigal, the name of two Israelitesses; Abigal.
H27	אֲבִידָן	ʼĂbîydân	ab-ee-dawn'	x-pn	Proper Name Masculine	from אָב and דִּין; father of judgment (i.e. judge); Abidan, an Israelite; Abidan.
H28	אֲבִידָע	ʼĂbîydâʻ	ab-ee-daw'	x-pn	Proper Name Masculine	from אָב and יָדַע; father of knowledge (i.e. knowing); Abida, a son of Abraham by Keturah; Abida, Abidah.
H29	אֲבִיָּה	ʼĂbîyâh	ab-ee-yaw'	x-pn	Proper Name Masculine	or prolonged אֲבִיָּהוּ ; from אָב and יָהּ; father (i.e. worshipper) of Jah; Abijah, the name of several Israelite men and two Israelitesses; Abiah, Abijah.
H30	אֲבִיהוּא	ʼĂbîyhûwʼ	ab-ee-hoo'	x-pn	Proper Name Masculine	from אָב and הוּא; father (i.e. worshipper) of Him (i.e. God); Abihu, a son of Aaron; Abihu.
H31	אֲבִיהוּד	ʼĂbîyhûwd	ab-ee-hood'	x-pn	Proper Name Masculine	from אָב and הוֹד; father (i.e. possessor) of renown; Abihud, the name of two Israelites; Abihud.
H32	אֲבִיהַיִל	ʼĂbîyhayil	ab-ee-hah'-yil	x-pn	Proper Name Masculine	or (more correctly) אֲבִיחַיִל ; from אָב and חַיִל; father (i.e. possessor) of might; Abihail or Abichail, the name of three Israelites and two Israelitesses; Abihail.
H33	אֲבִי הָעֶזְרִי	ʼĂbîy hâ-ʻEzrîy	ab-ee'-haw-ez-ree'	x-pn	Proper Name Masculine	from אֲבִיעֶזֶר with the article inserted; father of the Ezrite; an Abiezrite or descendant of Abiezer; Abiezrite.
H34	אֶבְיוֹן	ʼebyôwn	eb-yone'	heb		from אָבָה, in the sense of want (especially in feeling); destitute; beggar, needy, poor (man).
H35	אֲבִיּוֹנָה	ʼăbîyôwnâh	ab-ee-yo-naw'	heb	Noun Feminine	from אָבָה; provocative of desire; the caper berry (from its stimulative taste); desire.
H36	אֲבִיטוּב	ʼĂbîyṭûwb	ab-ee-toob'	x-pn	Proper Name Masculine	from אָב and טוּב; father of goodness (i.e. good); Abitub, an Israelite; Abitub.
H37	אֲבִיטָל	ʼĂbîyṭâl	ab-ee-tal'	x-pn	Proper Name Feminine	from אָב and טַל; father of dew (i.e. fresh); Abital, a wife of King David; Abital.
H38	אֲבִיָּם	ʼĂbîyâm	ab-ee-yawm'	x-pn	Proper Name Masculine	from אָב and יָם; father of (the) sea (i.e. seaman); Abijam (or Abijah), a king of Judah; Abijam.
H39	אֲבִימָאֵל	ʼĂbîymâʼêl	ab-ee-maw-ale'	x-pn		from אָב and an elsewhere unused (probably foreign) word; father of Mael (apparently some Arab tribe); Abimael, a son of Joktan; Abimael.
H40	אֲבִימֶלֶךְ	ʼĂbîymelek	ab-ee-mel'-ek	x-pn	Proper Name Masculine	from אָב and מֶלֶךְ; father of (the) king; Abimelek, the name of two Philistine kings and of two Israelites; Abimelech.
H41	אֲבִינָדָב	ʼĂbîynâdâb	ab-ee-naw-dawb'	x-pn	Proper Name Masculine	from אָב and נָדַב; father of generosity (i.e. liberal); Abinadab, the name of four Israelites; Abinadab.
H42	אֲבִינֹעַם	ʼĂbîynôʻam	ab-ee-no'-am	x-pn	Proper Name Masculine	from אָב and נֹעַם; father of pleasantness (i.e. gracious); Abinoam, an Israelite; Abinoam.
H43	אֶבְיָסָף	ʼEbyâçâph	eb-yaw-sawf'	x-pn	Proper Name Masculine	contracted from אֲבִיאָסָף; Ebjasaph, an Israelite; Ebiasaph.
H44	אֲבִיעֶזֶר	ʼĂbîyʻezer	ab-ee-ay'-zer	x-pn	Proper Name Masculine	from אָב and עֵזֶר; father of help (i.e. helpful); Abiezer, the name of two Israelites; Abiezer.
H45	אֲבִי־עַלְבוֹן	ʼĂbîy-ʻalbôwn	ab-ee-al-bone'	x-pn	Proper Name Masculine	from אָב and an unused root of uncertain derivation; probably, father of strength (i.e. valiant); Abialbon, an Israelite; Abialbon.
H46	אָבִיר	ʼâbîyr	aw-beer'	heb	Adjective Masculine	from אָבַר; mighty (spoken of God); mighty (one).
H47	אַבִּיר	ʼabbîyr	ab-beer'	heb	Adjective Masculine	for אָבִיר; {mighty (spoken of God)}; angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant.
H48	אֲבִירָם	ʼĂbîyrâm	ab-ee-rawm'	x-pn	Proper Name Masculine	from אָב and רוּם; father of height (i.e. lofty); Abiram, the name of two Israelites; Abiram.
H49	אֲבִישַׁג	ʼĂbîyshag	ab-ee-shag'	x-pn	Proper Name Feminine	from אָב and שָׁגָה; father of error (i.e. blundering); Abishag, a concubine of David; Abishag.
H50	אֲבִישׁוּעַ	ʼĂbîyshûwaʻ	ab-ee-shoo'-ah	x-pn	Proper Name Masculine	xlit ʼĂbîyshûwac corrected to ʼĂbîyshûwaʻ; from אָב and שׁוֹעַ; father of plenty (i.e. prosperous); Abishua, the name of two Israelites; Abishua.
H51	אֲבִישׁוּר	ʼĂbîyshûwr	ab-ee-shoor'	x-pn	Proper Name Masculine	from אָב and שׁוּר; father of (the) wall (i.e. perhaps mason); Abishur, an Israelite; Abishur.
H52	אֲבִישַׁי	ʼĂbîyshay	ab-ee-shah'ee	x-pn	Proper Name Masculine	or (shorter) אַבְשַׁי ; from אָב and שַׁי; father of a gift (i.e. probably generous); Abishai, an Israelite; Abishai.
H53	אֲבִישָׁלוֹם	ʼĂbîyshâlôwm	ab-ee-shaw-lome'	x-pn	Proper Name Masculine	or (shortened) אַבְשָׁלוֹם ; from אָב and שָׁלוֹם; father of peace (i.e. friendly); Abshalom, a son of David; also (the fuller form) a later Israelite; Abishalom, Absalom.
H54	אֶבְיָתָר	ʼEbyâthâr	ab-yaw-thawr'	x-pn	Proper Name Masculine	contracted from אָב and יָתַר; father of abundance (i.e. liberal); Ebjathar, an Israelite; Abiathar.
H55	אָבַךְ	ʼâbak	aw-bak'	heb	Verb	a primitive root; probably to coil upward; mount up.
H56	אָבַל	ʼâbal	aw-bal'	heb	Verb	a primitive root; to bewail; lament, mourn.
H57	אָבֵל	ʼâbêl	aw-bale'	heb	Adjective	from אָבַל; lamenting; mourn(-er, -ing).
H58	אָבֵל	ʼâbêl	aw-bale'	heb	Noun Feminine	from an unused root (meaning to be grassy); a meadow; plain. Compare also the proper names beginning with Abel-.
H59	אָבֵל	ʼÂbêl	aw-bale'	x-pn	Proper Name Location	from אָבֵל; a meadow; Abel, the name of two places in Palestine.; Abel.
H60	אֵבֶל	ʼêbel	ay'-bel	heb	Noun Masculine	from אָבַל; lamentation; mourning.
H61	אֲבָל	ʼăbâl	ab-awl'	heb	Adverb	apparently from אָבַל through the idea of negation; nay, i.e. truly or yet; but, indeed, nevertheless, verily.
H62	אָבֵל בֵּית־מֲעַכָה	ʼÂbêl Bêyth-Măʻakâh	aw-bale' bayth ma-akaw'	x-pn	Proper Name Location	from אָבֵל and בַּיִת and מַעֲכָה; meadow of Beth-Maakah; Abel of Beth-maakah, a place in Palestine; Abel-beth-maachah, Abel of Beth-maachah,
H63	אָבֵל הַשִּׁטִּים	ʼÂbêl hash-Shiṭṭîym	aw-bale' hash-shit-teem'	x-pn	Proper Name Location	from אָבֵל and the plural of שִׁטָּה, with the article inserted; meadow of the acacias; Abel hash-Shittim, a place in Palestine; Abelshittim.
H64	אָבֵל כְּרָמִים	ʼÂbêl Kᵉrâmîym	aw-bale' ker-aw-meem'	x-pn	Proper Name Location	from אָבֵל and the plural of כֶּרֶם; meadow of vineyards; Abel-Keramim, a place in Palestine; plain of the vineyards.
H65	אָבֵל מְחוֹלָה	ʼÂbêl Mᵉchôwlâh	aw-bale' mekh-o-law'	x-pn	Proper Name Location	from אָבֵל and מְחֹלָהxlit mᵉchôwlâh corrected to mᵉchôlâh; meadow of dancing; Abel-Mecholah, a place in Palestine; Abel-meholah.
H66	אַבֵל מַיִם	ʼAbêl Mayim	aw-bale' mah'-yim	x-pn	Proper Name Location	from אָבֵל and מַיִם; meadow of water; Abel-Majim, a place in Palestine; Abel-maim.
H67	אָבֵל מִצְרַיִם	ʼÂbêl Mitsrayim	aw-bale' mits-rah'-yim	x-pn	Proper Name Location	from אָבֵל and מִצְרַיִם; meadow of Egypt; Abel-Mitsrajim, a place in Palestine; Abel-mizraim.
H68	אֶבֶן	ʼeben	eh'-ben	heb	Noun Feminine	from the root of בָּנָה through the meaning to build; a stone; [phrase] carbuncle, [phrase] mason, [phrase] plummet, (chalk-, hail-, head-, sling-) stone(-ny), (divers) weight(-s).
H69	אֶבֶן	ʼeben	eh'-ben	arc	Noun Feminine	(Aramaic) corresponding to אֶבֶן; {a stone}; stone.
H70	אֹבֶן	ʼôben	o' ben	heb	Noun Masculine	from the same as אֶבֶן; a pair of stones (only dual); a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between); wheel, stool.
H71	אֲבָנָה	ʼĂbânâh	ab-aw-naw'	x-pn	Noun	perhaps feminine of אֶבֶן; stony;  Compare אֲמָנָה.; Abanah, a river near Damascus; Abana.
H72	אֶבֶן הָעֵזֶר	ʼEben hâ-ʻÊzer	eh'-ben haw-e'-zer	x-pn	Noun	from אֶבֶן and עֵזֶר with the article inserted; stone of the help; Eben-ha-Ezer, a place in Palestine; Ebenezer.
H73	אַבְנֵט	ʼabnêṭ	ab-nate'	heb	Noun Masculine	of uncertain derivation; a belt; girdle.
H74	אַבְנֵר	ʼAbnêr	ab-nare'	x-pn	Proper Name Masculine	or (fully) אֲבִינֵר ; from אָב and נִיר; father of light (i.e. enlightening); Abner, an Israelite; Abner.
H75	אָבַס	ʼâbaç	aw-bas'	heb	Verb	a primitive root; to fodder; fatted, stalled.
H76	אֲבַעְבֻּעָה	ʼăbaʻbuʻâh	ab-ah-boo-aw'	heb	Noun Feminine	(by reduplication) from an unused root (meaning to belch forth); an inflammatory pustule (as eruption); blains.
H77	אֶבֶץ	ʼEbets	eh'-bets	x-pn	Proper Name Location	from an unused root probably meaning to gleam; conspicuous; Ebets, a place in Palestine; Abez.
H78	אִבְצָן	ʼIbtsân	ib-tsawn'	x-pn	Proper Name Masculine	from the same as אֲבַעְבֻּעָה; splendid; Ibtsan, an Israelite; Ibzan.
H79	אָבַק	ʼâbaq	aw-bak'	heb	Verb	a primitive root, probably to float away (as vapor), but used only as denominative from אָבָק; to bedust, i.e. grapple; wrestle.
H80	אָבָק	ʼâbâq	aw-bawk'	heb	Noun Masculine	from root of אָבַק; light particles (as volatile); (small) dust, powder.
H81	אֲבָקָה	ʼăbâqâh	ab-aw-kaw'	heb	Noun Feminine	feminine of אָבָק; {light particles (as volatile)}; powder.
H82	אָבַר	ʼâbar	aw-bar'	heb	Verb	a primitive root; to soar; fly.
H83	אֵבֶר	ʼêber	ay-ber'	heb	Noun Masculine	from אָבַר; a pinion; (long-) wing(-ed).
H84	אֶבְרָה	ʼebrâh	eb-raw'	heb	Noun Feminine	feminine of אֵבֶר; {a pinion}; feather, wing.
H85	אַבְרָהָם	ʼAbrâhâm	ab-raw-hawm'	x-pn	Proper Name Masculine	contracted from אָב and an unused root (probably meaning to be populous); father of a multitude; Abraham, the later name of Abram; Abraham.
H86	אַבְרֵךְ	ʼabrêk	ab-rake'	heb		probably an Egyptian word meaning; kneel; bow the knee.
H87	אַבְרָם	ʼAbrâm	ab-rawm'	x-pn	Proper Name Masculine	contracted from אֲבִירָם; high father; Abram, the original name of Abraham; Abram.
H88	אֹבֹת	ʼôbôth	o-both'	x-pn	Proper Name Location	plural of אוֹב; water-skins; Oboth, a place in the Desert; Oboth.
H89	אָגֵא	ʼÂgêʼ	aw-gay'	x-pn	Proper Name Masculine	of uncertain derivation (compare אֲגַג); Age, an Israelite; Agee.
H90	אֲגַג	ʼĂgag	ag-ag'	x-pn	Proper Name Masculine	or אֲגָג; of uncertain derivation (compare אָגֵא); flame; Agag, a title of Amalekitish kings; Agag.
H91	אֲגָגִי	ʼĂgâgîy	ag-aw-ghee'	x-pn	Adjective	patrial or patronymic from אֲגַג; an Agagite or descendent (subject) of Agag; Agagite.
H92	אֲגֻדָּה	ʼăguddâh	ag-ood-daw'	heb	Noun Feminine	feminine passive participle of an unused root (meaning to bind); a band, bundle, knot, or arch; bunch, burden, troop.
H93	אֱגוֹז	ʼĕgôwz	eg-oze'	heb	Noun Masculine	prob of Persian origin; a nut; nut.
H94	אָגוּר	ʼÂgûwr	aw-goor'	x-pn	Proper Name Masculine	passive participle of אָגַר; gathered (i.e. received among the sages); Agur, a fanciful name for Solomon; Agur.
H95	אֲגוֹרָה	ʼăgôwrâh	ag-o-raw'	heb	Noun Feminine	from the same as אָגוּר; properly, something gathered, i.e. perhaps a grain or berry; used only of a small (silver) coin; piece (of) silver.
H96	אֶגֶל	ʼegel	eh'-ghel	heb	Noun Masculine	from an unused root (meaning to flow down or together as drops); a reservoir; drop.
H97	אֶגְלַיִם	ʼEglayim	eg-lah'-yim	x-pn	Proper Name Location	dual of אֶגֶל.; a double pond; Eglajim, a place in Moab; Eglaim.
H98	אֲגַם	ʼăgam	ag-am'	heb	Noun Masculine	from an unused root (meaning to collect as water); a marsh; hence a rush (as growing in swamps); hence a stockade of reeds; pond, pool, standing (water).
H99	אָגֵם	ʼâgêm	aw-game'	heb	Adjective	probably from the same as אֲגַם (in the sense of stagnant water); figuratively, sad; pond.
H100	אַגְמוֹן	ʼagmôwn	ag-mone'	heb	Noun Masculine	from the same as אֲגַם; a marshy pool (others from a different root, a kettle); by implication; a bulrush (as growing there); collectively a rope of bulrushes; bulrush, caldron, hook, rush.
H101	אַגָּן	ʼaggân	ag-gawn'	heb	Noun Masculine	probably from נָגַן; a bowl (as pounded out hollow); basin, cup, goblet.
H102	אַגָּף	ʼaggâph	ag-gawf'	heb	Noun Masculine	probably from נָגַף (through the idea of impending); a cover or heap; i.e.; (only plural) wings of an army, or crowds of troops; bands.
H103	אָגַר	ʼâgar	aw-gar'	heb	Verb	a primitive root; to harvest; gather.
H104	אִגְּרָא	ʼiggᵉrâʼ	ig-er-aw'	arc	Noun Feminine	(Aramaic) of Persian origin; an epistle (as carried by a state courier or postman); letter.
H105	אֲגַרְטָל	ʼăgarṭâl	ag-ar-tawl'	heb	Noun Masculine	of uncertain derivation; a basin; charger.
H106	אֶגְרֹף	ʼegrôph	eg-rofe'	heb	Noun Masculine	from גָּרַף (in the sense of grasping); the clenched hand; fist.
H107	אִגֶּרֶת	ʼiggereth	ig-eh'-reth	heb	Noun Feminine	feminine of אִגְּרָא; an epistle; letter.
H108	אֵד	ʼêd	ade	heb	Noun Masculine	from the same as אוּד (in the sense of enveloping); a fog; mist, vapor.
H109	אָדַב	ʼâdab	aw-dab'	heb	Verb	a primitive root; to languish; grieve.
H110	אַדְבְּאֵל	ʼAdbᵉʼêl	ad-beh-ale'	x-pn	Proper Name Masculine	probably from אָדַב (in the sense of chastisement) and אֵל; disciplined of God; Adbeel, a son of Ishmael; Adbeel.
H111	אֲדַד	ʼĂdad	ad-ad'	x-pn	Proper Name Masculine	probably an orthographical variation for חֲדַד; Adad (or Hadad), an Edomite; Hadad.
H112	אִדּוֹ	ʼIddôw	id-do	x-pn	Proper Name Masculine	of uncertain derivation; Iddo, an Israelite; Iddo.
H113	אָדוֹן	ʼâdôwn	aw-done'	heb	Noun Masculine	or (shortened) אָדֹן; from an unused root (meaning to rule); sovereign, i.e. controller (human or divine); lord, master, owner. Compare also names beginning with 'Adoni-'.
H114	אַדּוֹן	ʼAddôwn	ad-done'	x-pn	Adjective	probably intensive for אָדוֹן; powerful; Addon, apparently an Israelite; Addon.
H115	אֲדוֹרַיִם	ʼĂdôwrayim	ad-o-rah'-yim	x-pn	Proper Name Location	dual from אָדַר (in the sense of eminence); double mound; Adorajim, a place in Palestine; Adoraim.
H116	אֱדַיִן	ʼĕdayin	ed-ah'-yin	arc	Adverb	(Aramaic) of uncertain derivation; then (of time); now, that time, then.
H117	אַדִּיר	ʼaddîyr	ad-deer'	heb	Adjective	from אָדַר; wide or (generally) large; figuratively, powerful; excellent, famous, gallant, glorious, goodly, lordly, mighty(-ier one), noble, principal, worthy.
H118	אֲדַלְיָא	ʼĂdalyâʼ	ad-al-yaw'	x-pn	Proper Name Masculine	of Persian derivation; Adalja, a son of Haman; Adalia.
H119	אָדַם	ʼâdam	aw-dam'	heb	Verb	to show blood (in the face), i.e.; flush or turn rosy; be (dyed, made) red (ruddy).
H120	אָדָם	ʼâdâm	aw-dawm'	heb	Noun Masculine	from אָדַם; ruddy i.e. a human being (an individual or the species, mankind, etc.); [idiom] another, [phrase] hypocrite, [phrase] common sort, [idiom] low, man (mean, of low degree), person.
H121	אָדָם	ʼÂdâm	aw-dawm'	x-pn	Proper Name Masculine	the same as אָדָם; Adam the name of the first man, also of a place in Palestine; Adam.
H122	אָדֹם	ʼâdôm	aw-dome'	heb	Adjective	from אָדַם; rosy; red, ruddy.
H123	אֱדֹם	ʼĔdôm	ed-ome'	x-pn	Proper Name Masculine	or (fully) אֱדוֹם ; from אָדֹם; red (see Genesis 25:25); Edom, the elder twin-brother of Jacob; hence the region (Idumaea) occupied by him; Edom, Edomites, Idumea.
H124	אֹדֶם	ʼôdem	o'-dem	heb	Noun Feminine	from אָדַם; redness, i.e. the ruby, garnet, or some other red gem; sardius.
H125	אֲדַמְדָּם	ʼădamdâm	ad-am-dawm'	heb	Adjective	reduplicated from אָדַם; reddish; (somewhat) reddish.
H126	אַדְמָה	ʼAdmâh	ad-maw'	x-pn	Proper Name Location	contracted for אֲדָמָה; earthy; Admah, a place near the Dead Sea; Admah.
H127	אֲדָמָה	ʼădâmâh	ad-aw-maw'	heb	Noun Feminine	from אָדַם; soil (from its general redness); country, earth, ground, husband(-man) (-ry), land.
H128	אֲדָמָה	ʼĂdâmâh	ad-aw-maw'	x-pn	Proper Name Location	the same as אֲדָמָה; Adamah, a place in Palestine; Adamah.
H129	אֲדָמִי	ʼĂdâmîy	ad-aw-mee'	x-pn	Proper Name Location	from אֲדָמָה; earthy; Adami, a place in Palestine; Adami.
H130	אֱדֹמִי	ʼĔdômîy	ed-o-mee'	x-pn	Adjective	or (fully) אֱדוֹמִי ; patronymic from אֱדֹם; See אֲרוֹמִי.; an Edomite, or descendants from (or inhabitants of) Edom; Edomite. 
H131	אֲדֻמִּים	ʼĂdummîym	ad-oom-meem'	x-pn	Proper Name Location	plural of אָדָם; red spots; Adummim, a pass in Palestine; Adummim.
H132	אַדְמֹנִי	ʼadmônîy	ad-mo-nee'	heb	Adjective	or (fully) אַדְמוֹנִי ; from אָדַם; reddish (of the hair or the complexion); red, ruddy.
H133	אַדְמָתָא	ʼAdmâthâʼ	ad-maw-thaw'	x-pn	Proper Name Masculine	probably of Persian derivation; Admatha, a Persian nobleman; Admatha.
H134	אֶדֶן	ʼeden	eh'-den	heb	Noun Masculine	from the same as אָדוֹן (in the sense of strength); a basis (of a building, a column, etc.); foundation, socket.
H135	אַדָּן	ʼAddân	ad-dawn'	x-pn	Proper Name Location	intensive from the same as אֶדֶן; firm; Addan, an Israelite; Addan.
H136	אֲדֹנָי	ʼĂdônây	ad-o-noy'	heb	Noun Masculine	an emphatic form of אָדוֹן; the Lord (used as a proper name of God only); (my) Lord.
H137	אֲדֹנִי־בֶזֶק	ʼĂdônîy-Bezeq	ad-o''-nee-beh'-zek	x-pn	Proper Name Masculine	from אָדוֹן and בֶּזֶק; lord of Bezek; Adoni-Bezek; a Canaanitish king; Adonibezek.
H138	אֲדֹנִיָּה	ʼĂdônîyâh	ad-o-nee-yaw'	x-pn	Proper Name Masculine	original (prolonged) אֲדֹנִיָּהוּ ; from אָדוֹן and יָהּ; lord (i.e. worshipper) of Jah; Adonijah, the name of three Israelites; Adonijah.
H139	אֲדֹנִי־צֶדֶק	ʼĂdônîy-Tsedeq	ad-o''-nee-tseh'-dek	x-pn	Proper Name Masculine	from אָדוֹן and צֶדֶק; lord of justice; Adoni-Tsedek, a Canaanitish king; Adonizedec.
H140	אֲדֹנִיקָם	ʼĂdônîyqâm	ad-o-nee-kawm'	x-pn	Proper Name Masculine	from אָדוֹן and קוּם; lord of rising (i.e. high); Adonikam, the name of one or two Israelites; Adonikam.
H141	אֲדֹנִירָם	ʼĂdônîyrâm	ad-o-nee-rawm'	x-pn	Proper Name Masculine	from אָדוֹן and רוּם; lord of height; Adoniram, an Israelite; Adoniram.
H142	אָדַר	ʼâdar	aw-dar'	heb	Verb	a primitive root; to expand, i.e. be great or (figuratively) magnificent; (become) glorious, honourable.
H143	אֲדָר	ʼĂdâr	ad-awr'	x-pn	Noun	probably of foreign derivation; perhaps meaning fire; Adar, the 12th Hebrew month; Adar.
H144	אֲדָר	ʼĂdâr	ad-awr'	arc	Noun	(Aramaic) corresponding to אֲדָר; {Adar, the 12th Hebrew month}; Adar.
H145	אֶדֶר	ʼeder	eh'-der	heb	Noun	from אָדַר; amplitude, i.e. (concrete) a mantle; also (figuratively) splendor; goodly, robe.
H146	אַדָּר	ʼAddâr	ad-dawr'	x-pn	Proper Name Masculine	intensive from אָדַר; ample; Addar, a place in Palestine; also an Israelite; Addar.
H147	אִדַּר	ʼiddar	id-dar'	arc	Noun Feminine	(Aramaic) intensive, from a root corresponding to אָדַר; ample, i.e. a threshing-floor; threshingfloor.
H148	אֲדַרְגָּזֵר	ʼădargâzêr	ad-ar''-gaw-zare'	arc	Noun Masculine	(Aramaic) from the same as אִדַּר, and גְּזַר; a chief diviner, or astrologer; judge.
H149	אַדְרַזְדָּא	ʼadrazdâʼ	ad-raz-daw'	arc	Adverb	(Aramaic) probably of Persian origin; quickly or carefully; diligently.
